Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747675548.64,-0.001,-0.000,-0.015,-0.001,-0.001,-0.004,1.111,0.820,28.894
1747675548.65,-0.002,0.001,-0.014,0.002,0.001,0.001,1.112,0.821,28.893
1747675548.66,-0.002,0.001,-0.015,-0.001,0.001,0.001,1.112,0.822,28.894
1747675548.67,-0.002,0.001,-0.016,-0.001,-0.001,0.002,1.112,0.822,28.895
1747675548.68,-0.001,-0.000,-0.016,0.000,0.001,-0.001,1.111,0.822,28.895
1747675548.69,-0.000,-0.001,-0.015,0.001,0.001,-0.002,1.111,0.822,28.893
1747675548.70,0.000,-0.000,-0.014,-0.001,0.001,-0.001,1.111,0.822,28.893
1747675548.71,0.001,-0.000,-0.015,0.000,-0.000,-0.001,1.111,0.823,28.893
1747675548.72,0.002,0.000,-0.017,0.001,-0.003,-0.002,1.110,0.822,28.893
1747675548.73,0.001,0.000,-0.015,-0.003,0.000,-0.001,1.110,0.821,28.892
1747675548.74,0.001,0.001,-0.015,-0.001,-0.001,-0.002,1.110,0.821,28.891
1747675548.75,0.002,-0.001,-0.016,-0.001,0.000,0.000,1.109,0.821,28.891
1747675548.76,-0.000,-0.002,-0.015,-0.002,-0.001,0.002,1.109,0.821,28.892
1747675548.77,0.000,0.000,-0.015,0.001,-0.001,-0.000,1.109,0.820,28.893
1747675548.78,-0.000,0.000,-0.015,-0.001,0.001,0.002,1.109,0.821,28.893
1747675548.79,-0.000,0.000,-0.015,0.001,-0.000,0.000,1.109,0.820,28.893
1747675548.80,-0.000,0.000,-0.015,0.001,-0.001,0.002,1.110,0.819,28.894
1747675548.81,-0.000,0.000,-0.014,-0.000,-0.003,-0.000,1.112,0.819,28.893
1747675548.82,-0.001,0.000,-0.014,-0.000,-0.001,0.000,1.111,0.819,28.893
1747675548.83,-0.002,-0.001,-0.016,0.000,-0.002,0.001,1.112,0.818,28.894
1747675548.84,-0.002,-0.001,-0.016,0.000,-0.001,0.001,1.112,0.817,28.894
1747675548.85,-0.002,-0.001,-0.016,-0.001,0.004,-0.004,1.112,0.818,28.894
1747675548.86,-0.001,-0.001,-0.016,0.001,0.003,0.000,1.112,0.819,28.893
1747675548.87,-0.000,-0.001,-0.015,-0.000,-0.001,-0.002,1.112,0.820,28.892
1747675548.88,0.000,-0.000,-0.015,0.000,-0.000,0.003,1.112,0.819,28.892
1747675548.89,0.001,0.000,-0.015,0.000,-0.001,-0.003,1.112,0.819,28.892
1747675548.90,0.002,0.001,-0.016,0.001,-0.000,-0.003,1.112,0.819,28.891
