Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747511473.85,0.056,0.015,-0.040,-0.058,-0.083,0.162,28.477,8.849,-44.771
1747511473.87,0.031,0.007,-0.026,-0.096,-0.267,0.303,28.447,8.483,-44.455
1747511473.89,0.011,-0.007,-0.028,-0.232,-0.189,0.315,28.312,7.999,-44.015
1747511473.91,0.007,0.011,-0.005,-0.226,-0.115,0.274,28.075,7.642,-43.589
1747511473.93,0.017,0.023,-0.000,-0.060,-0.172,0.182,27.949,7.337,-43.269
1747511473.95,0.020,0.039,0.021,-0.015,-0.261,0.140,27.940,6.992,-43.067
1747511473.97,0.017,0.029,0.026,-0.031,-0.379,0.097,27.930,6.565,-42.902
1747511473.99,0.014,0.025,0.073,-0.124,-0.797,-0.006,27.852,5.893,-42.835
1747511474.01,0.077,-0.002,0.176,-0.113,-1.106,0.051,27.702,4.767,-42.805
1747511474.03,0.154,0.059,0.083,-0.021,-1.292,-0.068,27.616,3.349,-42.783
1747511474.05,0.071,0.102,-0.028,0.159,-0.693,-0.227,27.694,2.258,-42.985
1747511474.07,-0.080,0.035,-0.128,0.311,-0.406,-0.259,27.950,1.849,-43.320
1747511474.09,-0.151,-0.019,-0.099,0.235,-0.450,-0.119,28.288,1.495,-43.613
1747511474.11,0.089,0.001,0.065,0.043,-0.475,0.112,28.438,0.997,-43.590
1747511474.13,0.104,0.015,0.004,0.095,-0.549,-0.004,28.490,0.327,-43.495
1747511474.15,0.104,0.029,-0.022,0.410,-0.361,-0.248,28.767,-0.100,-43.654
1747511474.17,0.064,0.054,-0.029,0.642,-0.401,-0.409,29.395,-0.309,-44.109
1747511474.19,0.026,0.042,0.049,0.516,-0.663,-0.267,30.097,-0.650,-44.586
1747511474.21,0.118,0.018,0.101,0.140,-0.945,0.124,30.474,-1.520,-44.672
1747511474.23,0.186,0.014,0.087,-0.006,-1.163,0.366,30.501,-2.954,-44.316
1747511474.25,0.155,0.071,0.043,0.182,-1.109,0.317,30.556,-4.466,-43.842
1747511474.27,0.098,0.085,-0.020,0.287,-1.034,0.195,30.825,-5.906,-43.461
1747511474.29,0.079,0.044,0.015,0.163,-0.999,0.057,31.057,-7.107,-43.283
1747511474.31,0.089,0.009,-0.054,0.278,-1.296,0.147,31.272,-8.531,-43.104
1747511474.33,0.138,0.011,-0.091,0.226,-1.101,-0.073,31.579,-10.061,-42.949
1747511474.35,0.206,0.160,0.116,0.001,-0.825,-0.293,31.747,-11.021,-43.184
1747511474.37,0.198,0.184,0.153,-0.119,-0.973,-0.475,31.761,-11.660,-43.702
1747511474.39,-0.024,0.122,-0.209,-0.144,-1.698,-0.428,31.724,-12.962,-44.332
1747511474.41,0.003,-0.001,-0.098,-0.176,-1.677,-0.532,31.669,-14.540,-45.003
1747511474.43,0.069,0.045,-0.029,-0.184,-1.784,-0.629,31.647,-16.056,-45.823
1747511474.45,0.016,0.106,-0.009,-0.181,-2.062,-0.575,31.657,-17.823,-46.698
1747511474.47,0.021,0.107,0.135,-0.120,-1.999,-0.071,31.605,-19.904,-47.174
1747511474.49,0.151,0.074,0.178,0.304,-1.286,0.352,31.539,-22.090,-46.981
1747511474.51,0.223,-0.137,0.415,0.675,-2.163,0.305,32.064,-24.271,-46.127
1747511474.53,-0.042,0.181,0.250,-0.033,-2.202,-0.218,32.373,-26.941,-45.875
1747511474.55,0.039,0.210,0.294,0.005,-1.959,-0.536,32.440,-29.030,-46.433
1747511474.57,0.011,0.143,0.400,0.149,-1.646,-0.773,33.004,-30.689,-47.115
1747511474.59,0.095,0.260,0.472,-0.563,-1.269,-0.654,33.231,-31.760,-48.159
1747511474.61,0.596,0.139,0.460,-0.691,-0.751,0.332,32.717,-32.596,-48.853
1747511474.63,0.778,0.289,0.577,-1.271,-0.062,0.554,31.488,-33.018,-48.872
1747511474.65,0.536,0.607,0.604,-1.771,0.437,-0.609,29.920,-32.345,-50.026
1747511474.67,0.448,0.660,0.626,-1.687,1.437,-1.183,28.834,-30.083,-52.304
1747511474.69,0.614,0.566,0.603,-1.972,1.669,-0.787,27.609,-27.171,-54.601
1747511474.71,0.491,0.389,0.480,-2.663,1.592,0.168,25.391,-24.520,-56.250
