Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747607223.88,0.016,-0.019,0.041,-0.172,-0.344,0.103,-86.466,22.115,-13.404
1747607223.89,-0.024,-0.019,0.034,-0.160,-0.295,0.091,-86.536,23.365,-11.967
1747607223.90,-0.048,-0.015,0.011,-0.130,-0.207,0.082,-86.595,24.547,-10.638
1747607223.91,-0.054,-0.004,0.004,-0.101,-0.121,0.087,-86.636,25.672,-9.417
1747607223.92,-0.052,0.016,0.015,-0.098,-0.056,0.083,-86.665,26.824,-8.212
1747607223.93,-0.036,0.028,0.026,-0.097,-0.028,0.083,-86.692,27.995,-7.018
1747607223.94,-0.016,0.027,0.037,-0.061,-0.024,0.095,-86.708,29.172,-5.824
1747607223.95,0.003,0.014,0.015,-0.034,0.020,0.093,-86.703,30.226,-4.766
1747607223.96,0.009,0.002,0.012,-0.046,0.080,0.077,-86.698,31.182,-3.835
1747607223.97,0.000,-0.004,0.031,-0.045,0.144,0.073,-86.702,32.096,-2.985
1747607223.98,-0.004,-0.005,0.025,-0.049,0.158,0.079,-86.704,33.010,-2.156
1747607223.99,-0.003,0.005,0.007,-0.040,0.169,0.076,-86.703,33.928,-1.330
1747607224.00,0.001,0.021,0.010,-0.025,0.159,0.065,-86.699,34.743,-0.609
1747607224.01,0.012,0.041,0.004,-0.012,0.136,0.060,-86.690,35.402,-0.032
1747607224.02,0.021,0.049,-0.013,-0.012,0.139,0.060,-86.679,36.019,0.507
1747607224.03,0.034,0.031,0.008,-0.023,0.126,0.063,-86.668,36.689,1.101
1747607224.04,0.043,0.007,0.026,-0.014,0.082,0.052,-86.657,37.332,1.685
1747607224.05,0.036,-0.005,0.008,-0.011,0.033,0.035,-86.649,37.789,2.110
1747607224.06,0.034,-0.010,-0.001,-0.014,0.001,0.033,-86.645,38.152,2.464
1747607224.07,0.049,-0.004,-0.007,-0.013,-0.033,0.035,-86.641,38.485,2.807
1747607224.08,0.065,0.008,-0.028,-0.005,-0.065,0.016,-86.637,38.729,3.080
1747607224.09,0.068,0.013,-0.044,0.013,-0.071,0.001,-86.632,38.744,3.135
1747607224.10,0.064,0.003,-0.054,0.015,-0.082,-0.004,-86.624,38.594,3.027
1747607224.11,0.064,0.002,-0.049,0.009,-0.094,-0.001,-86.619,38.516,3.000
1747607224.12,0.062,0.009,-0.039,0.039,-0.098,0.000,-86.609,38.414,2.952
1747607224.13,0.049,0.016,-0.036,0.088,-0.094,-0.012,-86.581,38.014,2.606
1747607224.14,0.015,0.010,-0.042,0.112,-0.050,-0.010,-86.536,37.348,1.981
1747607224.15,-0.015,-0.002,-0.040,0.077,0.030,-0.008,-86.490,36.793,1.432
1747607224.16,-0.031,-0.010,-0.017,0.047,0.120,-0.009,-86.458,36.499,1.094
1747607224.17,-0.033,-0.003,-0.004,0.037,0.162,-0.012,-86.437,36.316,0.827
1747607224.18,-0.024,-0.003,0.001,0.039,0.170,-0.001,-86.417,36.198,0.615
1747607224.19,0.011,-0.008,0.011,0.044,0.181,0.005,-86.392,36.129,0.444
1747607224.20,0.051,-0.006,0.043,0.039,0.150,-0.006,-86.369,36.028,0.247
1747607224.21,0.056,-0.011,0.058,0.039,0.088,-0.021,-86.354,35.804,-0.047
1747607224.22,0.028,-0.011,0.054,0.058,0.027,-0.031,-86.338,35.391,-0.492
1747607224.23,-0.012,0.008,0.043,0.075,0.045,-0.039,-86.317,34.748,-1.153
1747607224.24,-0.051,0.010,0.037,0.041,0.119,-0.061,-86.304,34.104,-1.844
1747607224.25,-0.074,0.009,0.063,0.013,0.169,-0.074,-86.315,33.536,-2.498
1747607224.26,-0.087,0.025,0.082,-0.013,0.205,-0.068,-86.338,33.107,-3.034
1747607224.27,-0.078,0.024,0.079,-0.050,0.243,-0.065,-86.373,32.914,-3.355
1747607224.28,-0.038,0.018,0.087,-0.065,0.239,-0.062,-86.422,32.899,-3.511
1747607224.29,0.013,0.017,0.100,-0.067,0.192,-0.056,-86.471,32.952,-3.582
1747607224.30,0.048,0.008,0.092,-0.085,0.161,-0.051,-86.524,33.060,-3.577
1747607224.31,0.069,-0.018,0.083,-0.118,0.122,-0.059,-86.592,33.240,-3.478
1747607224.32,0.089,-0.045,0.059,-0.149,0.058,-0.045,-86.675,33.581,-3.188
1747607224.33,0.106,-0.056,0.028,-0.132,-0.030,-0.036,-86.758,34.028,-2.750
1747607224.34,0.123,-0.048,-0.017,-0.120,-0.102,-0.042,-86.832,34.364,-2.372
1747607224.35,0.139,-0.028,-0.078,-0.115,-0.122,-0.032,-86.901,34.675,-1.997
1747607224.36,0.160,-0.016,-0.097,-0.086,-0.123,-0.031,-86.959,34.973,-1.627
1747607224.37,0.159,0.011,-0.117,-0.017,-0.126,-0.075,-87.002,34.812,-1.718
1747607224.38,0.094,0.040,-0.115,0.087,-0.143,-0.124,-87.018,33.640,-2.815
1747607224.39,-0.008,0.053,-0.110,0.177,-0.175,-0.140,-86.996,31.541,-4.826
1747607224.40,-0.077,0.053,-0.099,0.228,-0.131,-0.138,-86.935,29.042,-7.236
1747607224.41,-0.103,0.031,-0.091,0.198,-0.005,-0.104,-86.858,26.796,-9.446
1747607224.42,-0.086,-0.015,-0.044,0.127,0.118,-0.048,-86.793,25.390,-10.887
1747607224.43,-0.065,-0.052,-0.011,0.078,0.185,0.002,-86.745,24.867,-11.501
1747607224.44,-0.056,-0.061,-0.012,0.050,0.204,0.027,-86.708,24.875,-11.604
1747607224.45,-0.045,-0.043,-0.020,0.040,0.216,0.035,-86.675,25.105,-11.496
1747607224.46,-0.009,-0.008,-0.008,0.035,0.197,0.032,-86.646,25.382,-11.337
