Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747656561.14,0.013,0.018,-0.030,0.070,0.020,-0.023,-87.074,-108.874,-107.075
1747656561.15,0.024,0.006,-0.046,0.021,0.001,0.000,-87.081,-108.356,-106.563
1747656561.16,0.037,-0.004,-0.039,-0.012,-0.057,0.048,-87.097,-108.330,-106.525
1747656561.16,0.048,-0.027,-0.030,-0.007,-0.103,0.069,-87.135,-108.652,-106.798
1747656561.17,0.031,-0.042,-0.034,0.040,-0.096,0.039,-87.168,-108.431,-106.519
1747656561.18,-0.004,0.015,-0.022,0.054,-0.051,0.023,-87.192,-107.662,-105.706
1747656561.19,-0.022,0.025,-0.012,0.044,0.014,0.016,-87.211,-107.014,-105.049
1747656561.20,-0.036,0.021,-0.002,0.028,0.059,0.005,-87.223,-106.565,-104.620
1747656561.21,-0.055,0.007,0.000,0.008,0.124,-0.011,-87.229,-106.189,-104.298
1747656561.22,-0.066,-0.012,0.013,-0.011,0.157,-0.022,-87.224,-105.960,-104.152
1747656561.23,-0.058,-0.025,0.030,-0.005,0.139,-0.020,-87.218,-105.859,-104.136
1747656561.24,-0.037,-0.023,0.016,0.027,0.092,-0.006,-87.221,-105.606,-103.950
1747656561.25,-0.010,-0.011,0.000,0.037,0.056,-0.005,-87.230,-105.092,-103.478
1747656561.26,0.019,0.008,0.004,0.024,0.026,-0.005,-87.232,-104.652,-103.061
1747656561.27,0.042,0.025,0.011,0.044,-0.022,0.000,-87.234,-104.244,-102.654
1747656561.28,0.042,0.025,0.004,0.061,-0.108,-0.014,-87.235,-103.616,-101.987
1747656561.29,0.011,0.017,-0.012,0.047,-0.144,-0.045,-87.219,-102.937,-101.232
1747656561.30,-0.022,0.000,-0.002,0.019,-0.118,-0.076,-87.182,-102.477,-100.695
1747656561.31,-0.031,-0.019,0.012,0.008,-0.069,-0.086,-87.130,-102.244,-100.410
1747656561.32,-0.025,-0.038,0.019,0.009,-0.035,-0.075,-87.080,-102.023,-100.159
1747656561.33,-0.018,-0.028,0.017,0.002,-0.011,-0.063,-87.040,-101.801,-99.925
1747656561.34,-0.015,0.000,0.019,-0.016,-0.033,-0.044,-87.012,-101.797,-99.910
1747656561.35,-0.012,0.013,0.017,-0.026,-0.079,-0.024,-86.998,-102.050,-100.129
1747656561.36,-0.008,0.010,-0.004,-0.012,-0.080,0.004,-86.998,-102.308,-100.341
1747656561.37,-0.002,-0.004,-0.024,0.004,-0.048,0.004,-87.004,-102.356,-100.352
1747656561.38,0.006,-0.019,-0.032,-0.008,-0.010,-0.015,-86.996,-102.348,-100.328
1747656561.39,0.008,-0.016,-0.017,0.006,0.035,-0.014,-86.976,-102.373,-100.359
1747656561.40,-0.000,-0.003,-0.008,0.041,0.109,0.010,-86.967,-102.174,-100.201
1747656561.41,-0.012,0.003,-0.019,0.070,0.119,0.033,-86.978,-101.637,-99.732
1747656561.42,-0.035,-0.009,-0.027,0.076,0.075,0.050,-87.004,-100.982,-99.133
