Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pitch,Roll,Yaw
1743395397.73,0.053,-0.008,-0.000,-0.359,-0.098,-0.136,16.036,3.312,-59.932,-2.699,-2.640,-0.153
1743395397.75,0.065,0.008,-0.058,-0.196,-0.178,-0.064,15.889,3.794,-59.748,-3.031,-2.810,-0.284
1743395397.77,0.095,0.009,-0.047,0.184,0.063,0.123,15.791,4.119,-59.857,-3.053,-2.924,-0.275
1743395397.79,0.145,0.104,0.017,0.470,0.281,0.176,15.700,3.709,-59.815,-2.664,-2.639,-0.054
1743395397.81,0.037,0.142,0.066,0.498,-0.213,0.203,15.742,3.138,-59.914,-2.108,-2.585,0.163
1743395397.83,0.005,0.045,0.048,0.576,-0.323,0.526,15.636,2.549,-59.804,-1.533,-2.937,0.592
1743395397.85,0.008,0.013,-0.001,0.759,0.358,0.829,15.372,1.560,-59.952,-0.808,-2.950,1.426
1743395397.87,0.002,0.070,-0.039,0.739,0.907,0.868,15.603,0.401,-60.077,0.030,-2.162,2.449
1743395397.89,-0.012,0.046,-0.082,0.439,0.799,0.868,16.570,-0.620,-59.567,0.695,-1.162,3.452
1743395397.91,-0.066,-0.053,0.003,-0.018,1.089,1.087,17.271,-1.492,-59.515,0.918,-0.160,4.554
1743395397.93,-0.066,0.052,0.039,-0.350,1.436,1.346,18.370,-2.006,-59.119,0.716,1.291,5.926
1743395397.95,0.010,0.055,-0.061,-0.645,1.695,1.798,19.786,-2.150,-58.544,0.210,3.016,7.730
1743395397.97,0.272,-0.156,-0.016,-0.849,2.452,2.204,21.439,-2.335,-57.715,-0.484,5.390,10.084
1743395397.99,0.171,-0.090,0.007,-0.821,2.295,2.389,23.853,-2.360,-56.711,-1.136,8.216,12.820
1743395398.01,0.014,0.047,-0.007,-0.640,1.957,2.410,25.993,-2.566,-55.354,-1.510,10.709,15.675
1743395398.03,0.070,0.121,0.047,-0.876,1.902,2.108,28.075,-3.362,-54.304,-1.765,12.908,18.384
1743395398.05,-0.007,0.093,0.194,-1.634,2.936,1.863,29.530,-3.941,-53.396,-2.553,15.678,20.954
1743395398.07,-0.174,0.091,0.155,-2.387,3.826,1.042,31.959,-3.338,-51.716,-4.278,19.756,23.297
1743395398.09,-0.369,0.105,0.122,-2.025,2.025,0.154,35.312,-2.234,-49.133,-6.533,23.872,24.907
1743395398.11,-0.293,0.313,0.539,-1.571,-0.307,0.487,37.642,-0.289,-47.210,-8.022,24.105,25.903
1743395398.13,0.079,0.295,0.492,-2.885,-0.186,1.023,37.454,0.946,-47.225,-10.024,24.340,27.746
1743395398.15,-0.041,0.409,0.467,-3.605,0.114,1.323,37.314,2.331,-47.491,-12.859,24.710,30.625
1743395398.17,-0.074,0.361,0.185,-3.753,0.786,1.151,37.421,4.686,-47.213,-16.096,26.097,33.836
1743395398.19,-0.248,0.208,-0.020,-3.411,0.649,0.922,37.894,7.020,-46.390,-19.231,27.822,36.955
1743395398.21,-0.374,0.271,0.086,-3.099,1.385,0.098,38.500,9.296,-45.326,-22.140,29.798,39.386
1743395398.23,0.006,0.312,0.129,-3.688,2.256,-0.270,39.534,11.773,-43.721,-25.497,32.697,41.400
1743395398.25,0.344,0.297,-0.144,-4.027,2.992,-0.172,40.913,15.051,-41.207,-29.349,36.941,44.026
1743395398.27,0.468,0.225,-0.479,-3.626,2.730,0.220,42.702,18.493,-37.252,-32.733,42.066,47.280
1743395398.29,0.393,-0.024,-0.688,-2.753,1.751,0.851,44.708,20.763,-33.226,-34.924,46.574,50.961
1743395398.31,0.083,-0.077,-0.556,-1.943,2.002,0.500,45.959,22.270,-30.249,-36.032,50.420,54.032
1743395398.33,0.310,-0.068,-0.411,-2.119,2.483,0.184,47.329,23.020,-27.528,-37.157,54.468,56.526
1743395398.35,0.699,-0.080,-0.476,-2.181,2.693,0.706,48.796,23.811,-23.941,-38.157,59.261,59.461
1743395398.37,0.768,-0.114,-0.505,-1.973,2.734,1.586,50.009,24.377,-20.360,-38.121,64.502,62.916
1743395398.39,0.445,-0.218,-0.529,-1.531,2.627,1.992,51.581,23.688,-16.742,-36.959,69.630,66.305
1743395398.41,0.048,-0.184,-0.407,-1.196,2.533,1.701,53.193,22.283,-13.362,-35.390,74.148,68.906
1743395398.43,-0.084,-0.221,-0.316,-1.335,1.554,1.417,54.352,20.481,-10.038,-34.040,77.792,71.105
1743395398.45,-0.106,-0.275,-0.483,-0.986,0.799,1.385,55.293,19.093,-7.750,-32.726,80.169,73.178
1743395398.47,-0.224,-0.297,-0.615,0.262,1.162,0.971,55.934,17.723,-6.191,-31.448,81.655,73.887
1743395398.49,-0.192,-0.251,-0.380,0.716,1.405,0.859,56.418,16.563,-4.971,-30.357,82.834,73.316
1743395398.51,-0.352,-0.076,-0.080,0.546,1.034,0.558,56.826,15.306,-3.387,-29.449,83.924,72.589
1743395398.53,-0.413,-0.146,-0.122,0.945,0.672,0.430,57.342,14.575,-2.423,-28.833,84.497,71.785
1743395398.55,-0.424,-0.153,0.055,0.562,-0.126,-0.120,57.304,13.928,-1.798,-28.505,84.248,70.563
1743395398.57,-0.339,0.044,0.363,-0.967,-0.702,-0.568,57.291,13.945,-1.634,-28.998,83.985,70.918
1743395398.59,-0.072,-0.134,-0.116,-0.508,-1.148,-0.411,57.234,14.351,-1.870,-29.676,83.386,71.963
1743395398.61,-0.006,-0.037,-0.088,0.135,-1.078,-0.526,57.165,15.004,-3.292,-30.187,82.110,72.034
1743395398.63,0.085,0.052,0.159,-0.102,-0.712,-0.721,57.041,15.555,-4.343,-30.895,81.005,71.837
1743395398.65,0.095,0.063,0.156,-0.294,-1.026,-0.762,56.912,16.297,-5.485,-31.784,80.163,71.975
1743395398.67,-0.124,0.131,0.126,-0.162,-1.123,-0.723,56.540,17.062,-6.333,-32.668,78.815,72.113
1743395398.69,0.014,0.248,-0.067,-0.285,-0.883,-0.751,56.261,18.179,-7.697,-33.523,77.601,72.175
1743395398.71,0.172,0.369,-0.080,-0.770,-0.457,-0.739,55.954,18.816,-8.719,-34.483,77.100,72.660
1743395398.73,0.024,0.329,0.092,-1.264,0.078,-0.808,55.379,19.696,-9.317,-35.583,77.672,73.773
1743395398.75,-0.050,0.283,-0.113,-1.428,-0.159,-0.910,55.218,20.731,-8.965,-36.877,78.638,75.484
1743395398.77,-0.008,0.211,-0.074,-1.098,-0.283,-0.967,54.795,21.942,-8.489,-38.228,79.292,77.002
1743395398.79,-0.015,-0.047,0.019,-1.127,-0.138,-1.252,54.347,23.158,-8.242,-39.678,79.756,78.275
1743395398.81,0.005,-0.098,0.078,-1.200,0.637,-1.300,53.787,24.675,-8.022,-41.290,80.978,79.673
1743395398.83,0.056,0.085,-0.075,-1.071,0.290,-1.561,53.412,26.020,-7.160,-43.136,82.604,81.161
1743395398.85,0.075,0.148,-0.152,-0.550,-0.451,-1.568,52.602,27.784,-5.791,-45.013,83.191,82.144
1743395398.87,0.061,0.062,-0.064,-0.275,-0.790,-1.774,51.959,29.624,-5.450,-46.964,82.597,82.409
1743395398.89,0.059,0.015,0.037,-0.478,-0.581,-1.463,50.895,31.557,-5.926,-48.893,81.929,82.618
1743395398.91,-0.109,0.105,0.118,-0.811,-0.249,-0.930,49.901,33.258,-6.473,-50.338,82.117,83.483
1743395398.93,-0.197,0.157,0.143,-0.788,0.371,-0.627,49.041,34.663,-6.328,-51.324,83.180,84.795
1743395398.95,-0.139,0.098,0.045,-0.453,0.682,-0.678,48.649,35.516,-5.711,-52.095,84.654,85.832
