Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1746584980.94,0.029,0.027,0.172,-0.647,-0.518,-0.127,2.481,-1.559,95.349
1746584980.96,-0.002,0.050,0.135,-0.508,-0.285,-0.112,1.821,-2.068,95.179
1746584980.98,-0.016,0.029,0.290,-0.237,2.287,-0.208,1.442,-0.964,94.933
1746584981.00,-0.059,-0.045,0.092,-0.198,2.128,-0.104,1.178,1.650,94.742
1746584981.02,-0.084,-0.108,-0.048,-0.009,1.484,-0.046,1.051,3.757,94.659
1746584981.04,-0.079,-0.037,-0.041,0.149,1.571,0.005,1.131,5.369,94.638
1746584981.06,-0.071,-0.008,0.230,0.103,2.083,0.014,1.313,7.514,94.634
1746584981.08,-0.073,0.072,0.073,-0.153,2.318,-0.059,1.293,10.065,94.620
1746584981.10,-0.095,0.130,-0.094,-0.419,1.659,-0.145,0.934,12.457,94.568
1746584981.12,-0.069,0.105,-0.360,-0.424,0.684,-0.162,0.401,13.629,94.496
1746584981.14,-0.004,0.045,-0.193,-0.399,0.394,-0.012,-0.065,14.245,94.499
1746584981.16,-0.011,-0.087,-0.189,-0.352,0.256,0.061,-0.489,14.600,94.658
1746584981.18,-0.065,-0.025,-0.108,-0.203,0.022,0.085,-0.773,14.777,94.809
1746584981.20,-0.034,-0.021,0.009,-0.189,-0.114,0.110,-0.951,14.689,94.973
1746584981.22,0.000,0.039,0.035,-0.234,0.207,0.081,-1.155,14.704,95.148
1746584981.24,-0.026,0.041,0.069,-0.062,0.427,0.027,-1.356,15.264,95.257
1746584981.26,-0.161,-0.018,0.113,0.095,-0.415,0.058,-1.129,14.832,95.268
1746584981.28,-0.147,0.222,0.318,-0.622,0.078,0.578,-1.305,14.620,95.568
1746584981.30,-0.272,0.107,0.485,-1.521,-0.034,0.658,-2.311,14.710,96.579
1746584981.32,-0.263,0.054,0.397,-1.968,0.550,0.879,-4.086,15.067,97.928
1746584981.34,-0.260,0.140,0.198,-1.495,0.762,1.104,-5.725,16.026,99.582
1746584981.36,-0.274,0.219,0.291,-2.652,-0.307,1.162,-7.420,16.476,101.481
1746584981.38,-0.556,0.189,0.741,-3.384,-1.019,0.834,-10.513,16.074,103.632
1746584981.40,-0.659,0.484,0.415,-2.850,-0.573,0.144,-13.842,15.404,105.175
1746584981.42,-0.357,0.407,0.278,-2.746,0.642,-0.181,-16.834,15.636,105.993
1746584981.44,-0.231,0.432,0.358,-3.458,1.736,-0.612,-20.354,17.251,106.605
1746584981.46,-0.165,0.472,0.162,-3.759,1.852,-0.910,-24.599,19.595,107.113
1746584981.48,-0.109,0.424,-0.092,-3.724,1.059,-0.931,-29.000,21.545,107.715
1746584981.50,0.014,0.448,-0.221,-3.146,0.688,-0.650,-32.981,22.902,108.468
1746584981.52,0.229,0.486,-0.159,-3.379,1.026,-0.460,-36.544,24.437,109.556
1746584981.54,0.340,0.502,-0.030,-4.076,1.876,-0.586,-40.664,27.116,110.026
1746584981.56,0.428,0.463,-0.216,-4.049,2.644,-0.591,-45.114,31.309,111.092
1746584981.58,0.501,0.347,-0.441,-3.702,2.618,-0.309,-49.087,36.555,112.898
1746584981.60,0.539,0.269,-0.542,-3.335,2.497,0.127,-52.249,42.422,115.614
1746584981.62,0.812,0.297,-0.504,-3.321,2.540,0.717,-54.542,49.341,119.501
1746584981.64,1.130,0.269,-0.481,-3.293,2.936,1.668,-55.735,58.028,125.095
1746584981.66,1.337,0.158,-0.650,-2.831,3.121,2.605,-55.140,67.699,131.466
1746584981.68,1.056,-0.044,-0.700,-2.344,3.281,2.989,-52.927,76.662,136.915
1746584981.70,0.511,-0.209,-0.752,-1.903,2.874,2.649,-50.136,83.894,140.594
1746584981.72,0.136,-0.398,-0.764,-1.191,2.428,1.979,-47.578,89.147,142.608
1746584981.74,-0.163,-0.519,-0.908,0.035,2.316,1.001,-45.872,92.546,142.589
1746584981.76,-0.318,-0.582,-0.840,0.613,1.466,0.668,-45.037,94.290,141.059
1746584981.78,-0.265,-0.440,-0.678,1.065,0.359,0.758,-44.300,94.312,138.758
1746584981.80,-0.268,-0.318,-0.571,1.483,-0.159,0.837,-43.489,92.870,135.830
1746584981.82,-0.088,-0.310,-0.514,1.732,0.082,0.884,-42.537,91.018,132.377
1746584981.84,0.044,-0.337,-0.282,1.406,0.583,0.621,-41.674,89.739,129.131
1746584981.86,0.029,-0.170,0.063,0.979,0.635,0.357,-41.125,89.345,126.519
1746584981.88,0.032,-0.070,0.328,0.438,-0.072,0.414,-40.677,89.009,124.604
1746584981.90,-0.066,-0.010,0.497,-0.332,-1.080,0.288,-40.253,88.271,123.758
1746584981.92,-0.213,-0.023,0.467,-0.440,-1.858,-0.042,-40.133,87.054,123.785
1746584981.94,-0.276,-0.096,-0.223,0.258,-2.567,-0.630,-40.496,84.513,123.026
1746584981.96,-0.456,-0.151,-0.332,-0.245,-2.809,-0.946,-41.405,81.232,122.008
1746584981.98,-0.309,0.038,-0.226,-0.324,-2.738,-1.429,-42.814,78.156,121.405
1746584982.00,-0.122,0.158,-0.038,0.199,-2.798,-1.654,-44.570,74.719,120.117
