Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747652410.63,-0.006,0.028,-0.006,-0.019,0.021,-0.017,-88.203,-21.208,-11.298
1747652410.64,-0.002,0.039,-0.013,-0.016,0.002,-0.007,-88.208,-21.654,-11.750
1747652410.65,0.008,0.019,-0.032,-0.016,-0.002,0.004,-88.214,-21.982,-12.078
1747652410.66,0.006,0.002,-0.048,-0.007,0.007,0.013,-88.221,-22.106,-12.203
1747652410.66,-0.010,-0.001,-0.052,-0.009,0.038,0.024,-88.227,-22.034,-12.142
1747652410.67,-0.030,0.001,-0.044,-0.017,0.079,0.027,-88.236,-21.867,-12.010
1747652410.68,-0.042,-0.003,-0.023,-0.007,0.082,0.017,-88.244,-21.705,-11.895
1747652410.69,-0.045,-0.008,-0.023,0.000,0.050,0.006,-88.247,-21.508,-11.736
1747652410.70,-0.026,-0.018,-0.032,-0.011,0.030,0.018,-88.251,-21.335,-11.585
1747652410.71,0.010,-0.024,-0.026,-0.018,0.025,0.041,-88.263,-20.922,-11.187
1747652410.72,0.035,-0.012,-0.020,-0.016,0.027,0.051,-88.279,-20.174,-10.455
1747652410.73,0.037,0.003,-0.014,-0.009,0.010,0.062,-88.294,-19.197,-9.488
1747652410.74,0.016,0.007,-0.024,0.005,-0.012,0.061,-88.303,-18.055,-8.345
1747652410.75,-0.011,0.006,-0.035,0.018,-0.024,0.049,-88.300,-17.055,-7.334
1747652410.76,-0.033,0.004,-0.036,0.034,-0.009,0.032,-88.287,-16.337,-6.605
1747652410.77,-0.043,0.006,-0.027,0.047,0.010,-0.001,-88.263,-15.985,-6.253
1747652410.78,-0.042,-0.000,-0.019,0.051,0.031,-0.011,-88.230,-15.929,-6.209
1747652410.79,-0.019,-0.006,-0.018,0.040,0.039,0.013,-88.202,-15.598,-5.898
1747652410.80,0.013,-0.009,-0.011,0.030,0.034,0.036,-88.186,-14.855,-5.176
1747652410.81,0.038,-0.012,0.002,0.027,-0.003,0.052,-88.176,-13.845,-4.175
1747652410.82,0.043,-0.011,0.003,0.034,-0.044,0.055,-88.165,-12.735,-3.051
1747652410.83,0.039,-0.007,0.002,0.040,-0.071,0.051,-88.150,-11.714,-1.994
1747652410.84,0.028,-0.001,0.004,0.035,-0.060,0.029,-88.130,-10.982,-1.223
