Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747064347.76,0.004,0.007,0.062,0.045,-0.294,0.075,12.825,0.146,32.322
1747064347.77,0.017,-0.037,0.062,-0.067,0.044,0.113,12.838,-0.114,32.427
1747064347.79,-0.029,-0.021,0.213,-0.202,1.684,0.023,12.665,0.775,32.498
1747064347.81,0.005,-0.089,0.235,-0.175,1.641,0.179,12.421,2.706,32.632
1747064347.83,-0.005,-0.048,0.112,0.077,2.491,0.211,12.395,4.995,32.867
1747064347.85,-0.060,0.025,0.055,0.056,1.408,0.193,12.504,7.403,33.100
1747064347.87,-0.080,0.070,-0.401,0.066,-0.116,0.084,12.589,7.910,33.283
1747064347.89,-0.092,0.145,-0.109,-0.157,0.142,0.026,12.579,7.875,33.343
1747064347.91,-0.084,0.140,-0.007,-0.428,0.448,-0.004,12.206,8.108,33.411
1747064347.93,-0.098,0.111,0.076,-0.235,1.000,0.009,11.814,8.971,33.466
1747064347.95,-0.070,0.024,0.008,-0.038,1.291,0.093,11.676,10.264,33.540
1747064347.97,-0.015,-0.080,0.076,-0.069,1.916,0.157,11.661,12.016,33.705
1747064347.99,-0.051,0.009,0.165,-0.195,2.263,0.106,11.547,14.444,33.899
1747064348.01,-0.103,0.042,0.089,-0.261,2.089,-0.034,11.305,16.898,34.015
1747064348.03,-0.111,0.074,0.064,0.106,-0.065,0.013,11.291,17.875,33.976
1747064348.05,-0.152,0.131,0.297,-0.805,-0.209,0.337,10.910,17.629,34.197
1747064348.07,-0.195,0.101,0.377,-1.527,-0.341,0.685,9.770,17.221,35.170
1747064348.09,-0.238,0.006,0.170,-1.581,-0.427,1.135,8.342,16.448,36.720
1747064348.11,-0.167,0.069,0.092,-1.306,-0.118,1.469,7.146,15.882,38.633
1747064348.13,-0.157,0.121,0.170,-0.870,-0.137,1.788,6.441,15.473,40.776
1747064348.15,-0.504,0.294,0.471,-2.799,-1.458,0.476,4.794,14.122,42.520
1747064348.17,-0.312,0.324,0.674,-3.770,-0.722,0.353,1.124,12.772,43.852
1747064348.19,-0.163,0.314,0.238,-3.541,-0.053,0.207,-2.943,12.343,45.091
1747064348.21,-0.181,0.290,0.058,-3.156,0.619,-0.043,-6.646,12.764,46.024
1747064348.23,-0.206,0.232,-0.022,-2.848,0.947,-0.222,-10.017,13.750,46.635
1747064348.25,-0.080,0.262,0.042,-2.811,1.067,-0.057,-13.158,15.071,47.273
1747064348.27,-0.006,0.294,0.156,-3.036,0.953,0.011,-16.358,16.464,48.213
1747064348.29,-0.119,0.322,0.177,-3.494,1.034,-0.353,-19.959,17.860,49.196
1747064348.31,-0.081,0.289,0.067,-3.737,1.528,-0.806,-24.122,19.590,49.950
1747064348.33,-0.040,0.252,-0.132,-3.499,1.726,-1.052,-28.421,21.728,50.461
1747064348.35,0.089,0.231,-0.235,-3.001,1.567,-1.036,-32.312,23.815,50.840
1747064348.37,0.139,0.252,-0.200,-2.857,1.531,-0.932,-35.772,25.828,51.289
1747064348.39,0.264,0.325,-0.194,-3.002,1.459,-0.826,-39.214,27.981,52.047
1747064348.41,0.466,0.283,-0.259,-3.025,1.759,-0.615,-42.634,30.653,53.353
1747064348.43,0.503,0.213,-0.375,-2.822,2.153,-0.517,-45.801,34.099,55.085
1747064348.45,0.520,0.126,-0.405,-2.498,2.555,-0.346,-48.566,38.327,57.154
