Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw,Altitude
1741962933.65,-0.027,-0.031,-0.022,-0.175,-0.167,0.033,31.79,13.68,150.99,0.00
1741962933.67,-0.018,-0.005,-0.046,-0.075,-0.062,-0.027,31.64,13.54,151.02,0.00
1741962933.69,0.006,0.001,-0.037,0.054,-0.022,0.028,31.63,13.51,151.02,0.00
1741962933.71,0.010,-0.000,-0.004,0.092,-0.041,0.039,31.73,13.46,151.04,0.00
1741962933.73,-0.003,-0.014,0.030,0.023,-0.077,-0.000,31.81,13.39,151.05,0.00
1741962933.75,0.002,-0.013,0.025,-0.053,-0.116,-0.004,31.78,13.27,151.05,0.00
1741962933.77,0.010,0.001,-0.007,-0.089,-0.111,-0.016,31.70,13.13,151.06,0.00
1741962933.79,0.011,0.012,-0.031,-0.074,0.013,-0.010,31.60,13.07,151.07,0.00
1741962933.81,0.012,0.011,-0.033,-0.023,0.050,0.018,31.55,13.11,151.08,0.00
1741962933.83,0.012,-0.005,-0.017,0.038,-0.046,-0.004,31.56,13.12,151.10,0.00
1741962933.85,0.013,-0.004,-0.002,0.052,-0.120,-0.033,31.62,13.04,151.05,0.00
1741962933.87,0.015,0.005,0.005,0.009,-0.125,-0.028,31.64,12.92,151.00,0.00
1741962933.89,0.021,0.007,-0.010,-0.067,-0.113,0.003,31.59,12.79,150.99,0.00
1741962933.91,0.008,0.009,-0.018,-0.071,-0.072,0.024,31.51,12.68,151.03,0.00
1741962933.93,0.004,0.004,-0.023,0.003,-0.151,-0.018,31.47,12.55,151.05,0.00
1741962933.95,0.002,-0.003,0.011,0.042,-0.348,-0.084,31.49,12.33,150.98,0.00
1741962933.97,0.005,-0.013,0.072,-0.040,-0.702,-0.180,31.48,11.84,150.80,0.00
1741962933.99,0.032,-0.003,0.132,-0.313,-1.145,-0.196,31.25,10.91,150.57,0.00
1741962934.01,0.126,0.021,0.191,-0.788,-1.400,0.084,30.62,9.44,150.59,0.00
1741962934.03,0.062,-0.007,0.108,-1.107,-1.527,0.305,29.52,7.52,151.06,0.00
1741962934.05,-0.005,0.017,-0.048,-0.769,-1.385,0.257,28.46,5.52,151.61,0.00
1741962934.07,0.035,-0.027,-0.100,-0.100,-1.003,0.202,27.97,3.99,151.94,0.00
1741962934.09,0.055,-0.021,-0.079,0.505,-0.553,0.159,28.24,2.98,152.08,0.00
1741962934.11,-0.010,0.025,-0.022,0.770,-0.072,0.176,29.01,2.59,152.18,0.00
1741962934.13,-0.069,0.071,-0.008,0.651,-0.113,0.172,29.86,2.40,152.32,0.00
1741962934.15,-0.113,0.054,0.042,0.374,0.023,0.179,30.44,2.24,152.45,0.00
1741962934.17,-0.107,0.064,-0.019,0.488,0.072,0.177,30.90,2.20,152.61,0.00
1741962934.19,-0.153,0.057,-0.109,0.894,0.303,0.105,31.69,2.32,152.71,0.00
1741962934.21,-0.089,0.031,-0.114,1.216,0.413,0.016,32.91,2.68,152.66,0.00
1741962934.23,-0.039,0.003,-0.047,1.285,0.475,-0.043,34.37,3.26,152.53,0.00
1741962934.25,-0.061,0.001,-0.021,0.992,0.144,-0.248,35.68,3.80,152.21,0.00
1741962934.27,-0.079,0.027,0.077,0.650,0.234,-0.385,36.58,4.30,151.63,0.00
1741962934.29,-0.047,0.044,0.063,0.347,0.146,-0.318,37.11,4.91,151.00,0.00
1741962934.31,0.021,0.081,0.080,0.042,0.231,0.107,37.32,5.18,150.76,0.00
1741962934.33,-0.059,0.073,0.017,-0.215,0.929,0.622,37.24,5.48,151.27,0.00
1741962934.35,-0.162,0.066,-0.012,-0.039,1.685,0.937,37.14,6.31,152.41,0.00
1741962934.37,-0.101,0.128,0.041,0.490,2.580,1.247,37.54,7.80,153.87,0.00
1741962934.39,0.015,-0.023,0.068,0.669,3.967,1.585,38.51,10.41,155.77,0.00
1741962934.41,-0.153,0.004,-0.017,0.264,5.016,0.993,39.37,14.26,157.66,0.00
1741962934.43,-0.294,0.108,-0.131,-0.091,3.427,0.332,39.72,18.85,158.60,0.00
1741962934.45,0.019,0.207,0.270,-0.807,3.527,0.018,39.27,22.37,159.06,0.00
1741962934.47,0.284,0.029,0.160,-1.813,3.251,0.409,38.06,25.56,160.27,0.00
1741962934.49,0.120,0.189,0.163,-2.467,2.264,0.730,36.09,27.74,162.52,0.00
1741962934.51,-0.051,-0.038,0.333,-1.460,-3.333,1.807,34.88,24.59,165.45,0.00
1741962934.53,-0.106,0.339,0.461,-2.466,-2.365,1.910,33.53,19.52,168.99,0.00
1741962934.55,-0.161,0.313,0.329,-2.566,-1.837,1.739,31.37,15.10,172.54,0.00
1741962934.57,-0.175,0.408,0.316,-2.215,-0.722,1.283,29.10,12.33,175.28,0.00
1741962934.59,-0.295,0.419,0.530,-2.176,-0.188,0.929,26.97,10.98,177.39,0.00
1741962934.61,-0.368,0.588,0.631,-2.532,-0.121,0.428,24.48,10.20,178.87,0.00
1741962934.63,-0.296,0.706,0.752,-3.057,-0.015,0.043,21.43,9.76,179.86,0.00
1741962934.65,-0.223,0.747,0.827,-4.308,0.155,-0.343,17.29,9.63,-179.48,0.00
1741962934.67,-0.103,0.720,0.664,-5.416,0.681,-0.569,11.68,9.97,-178.95,0.00
1741962934.69,0.010,0.727,0.214,-5.753,1.011,-0.861,5.17,10.91,-178.51,0.00
1741962934.71,0.211,0.624,-0.175,-5.238,0.927,-0.736,-1.23,12.01,-178.12,0.00
1741962934.73,0.311,0.542,-0.375,-4.442,1.078,-0.393,-6.78,13.16,-177.47,0.00
1741962934.75,0.298,0.462,-0.391,-3.641,1.736,-0.386,-11.34,14.85,-176.69,0.00
1741962934.77,0.221,0.424,-0.289,-3.483,2.273,-0.793,-15.36,17.27,-176.13,0.00
1741962934.79,0.182,0.360,-0.241,-3.610,2.497,-1.233,-19.60,20.09,-175.85,0.00
1741962934.81,0.204,0.361,-0.357,-3.476,2.363,-1.478,-23.95,22.91,-175.76,0.00
1741962934.83,0.414,0.323,-0.499,-3.318,1.883,-1.388,-28.19,25.39,-175.64,0.00
1741962934.85,0.497,0.270,-0.563,-2.972,1.855,-1.109,-32.03,27.64,-175.18,0.00
1741962934.87,0.375,0.275,-0.477,-2.857,2.247,-1.262,-35.56,30.30,-174.62,0.00
1741962934.89,0.481,0.224,-0.462,-3.001,2.653,-1.346,-39.20,33.47,-173.97,0.00
1741962934.91,0.657,0.151,-0.638,-2.819,2.697,-1.079,-42.77,37.26,-172.91,0.00
1741962934.93,0.900,0.112,-0.714,-2.437,2.345,-0.262,-45.60,41.34,-171.12,0.00
1741962934.95,0.914,0.013,-0.709,-2.129,2.176,0.552,-47.34,45.95,-168.29,0.00
1741962934.97,0.740,-0.161,-0.802,-1.642,2.141,0.949,-48.13,50.83,-164.98,0.00
1741962934.99,0.544,-0.242,-0.816,-1.021,2.179,1.141,-48.08,55.48,-162.04,0.00
1741962935.01,0.504,-0.283,-0.792,-0.349,2.188,1.317,-47.32,59.51,-159.94,0.00
1741962935.03,0.511,-0.234,-0.629,0.149,2.319,1.599,-45.91,62.96,-158.68,0.00
1741962935.05,0.405,-0.210,-0.342,0.029,2.355,1.827,-44.06,66.40,-157.69,0.00
1741962935.07,0.150,-0.257,-0.270,-0.270,1.671,1.924,-42.12,69.64,-156.38,0.00
