Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747656496.46,0.016,0.009,0.008,0.049,0.200,-0.085,-85.896,12.164,-2.572
1747656496.47,0.018,0.025,0.012,0.039,0.182,-0.059,-85.880,11.632,-3.214
1747656496.47,0.006,0.030,0.005,0.039,0.174,-0.033,-85.864,11.304,-3.646
1747656496.48,-0.014,0.020,0.009,0.033,0.162,-0.027,-85.850,11.097,-3.949
1747656496.49,-0.032,0.007,0.008,0.009,0.142,-0.031,-85.843,10.852,-4.282
1747656496.50,-0.030,-0.009,0.007,-0.009,0.141,-0.030,-85.849,10.570,-4.644
1747656496.51,-0.016,-0.019,0.016,0.006,0.153,-0.041,-85.858,10.230,-5.067
1747656496.52,-0.005,-0.016,0.021,0.017,0.186,-0.043,-85.858,9.967,-5.429
1747656496.53,-0.003,-0.010,0.026,0.010,0.151,-0.044,-85.854,9.766,-5.730
1747656496.54,-0.025,-0.002,0.010,-0.023,0.084,-0.040,-85.864,9.580,-5.983
1747656496.55,-0.036,0.003,-0.027,-0.038,0.083,-0.044,-85.887,9.359,-6.250
1747656496.56,-0.010,-0.009,-0.038,-0.059,0.091,-0.040,-85.919,9.095,-6.562
1747656496.57,0.034,-0.018,-0.018,-0.078,0.114,-0.012,-85.963,8.967,-6.749
1747656496.58,0.081,-0.023,0.003,-0.069,0.103,0.018,-86.007,9.123,-6.655
1747656496.59,0.103,-0.014,-0.005,-0.027,0.044,0.029,-86.034,9.412,-6.410
1747656496.60,0.088,0.001,-0.026,0.011,-0.041,0.022,-86.037,9.628,-6.193
1747656496.61,0.064,0.014,-0.047,0.033,-0.127,0.007,-86.024,9.672,-6.099
1747656496.62,0.040,0.018,-0.059,0.051,-0.187,-0.009,-86.000,9.509,-6.171
1747656496.63,0.011,0.012,-0.057,0.073,-0.181,-0.017,-85.965,9.188,-6.387
1747656496.64,-0.021,-0.007,-0.049,0.078,-0.153,-0.029,-85.922,8.813,-6.665
1747656496.65,-0.058,-0.018,-0.050,0.071,-0.093,-0.045,-85.882,8.392,-7.016
1747656496.66,-0.078,-0.018,-0.038,0.071,-0.027,-0.046,-85.846,7.959,-7.415
1747656496.67,-0.080,-0.009,-0.024,0.059,0.055,-0.046,-85.812,7.573,-7.812
1747656496.68,-0.074,0.004,-0.012,0.056,0.079,-0.063,-85.783,7.164,-8.262
1747656496.69,-0.059,0.010,-0.016,0.055,0.083,-0.067,-85.754,6.663,-8.810
1747656496.70,-0.027,-0.000,-0.011,0.045,0.119,-0.032,-85.727,6.311,-9.221
1747656496.71,-0.000,-0.017,0.015,0.034,0.145,-0.021,-85.706,6.166,-9.443
1747656496.72,-0.004,-0.022,0.021,0.033,0.157,-0.026,-85.688,6.037,-9.658
1747656496.73,-0.011,-0.007,0.023,0.020,0.160,-0.022,-85.673,5.900,-9.888
1747656496.74,-0.010,0.010,0.028,0.007,0.139,-0.010,-85.666,5.836,-10.037
1747656496.75,-0.005,0.014,0.026,0.006,0.121,-0.002,-85.662,5.821,-10.126
1747656496.76,0.010,0.013,0.031,0.017,0.092,-0.009,-85.656,5.774,-10.234
1747656496.77,0.012,0.020,0.041,0.030,0.057,-0.019,-85.642,5.635,-10.417
1747656496.78,0.001,0.020,0.046,0.031,0.020,-0.035,-85.626,5.406,-10.667
1747656496.79,-0.016,0.006,0.032,0.049,0.014,-0.051,-85.608,5.064,-11.018
1747656496.80,-0.020,-0.003,0.012,0.054,0.015,-0.047,-85.580,4.665,-11.426
1747656496.81,-0.015,-0.010,0.010,0.018,0.002,-0.025,-85.563,4.371,-11.727
1747656496.82,-0.002,-0.016,0.016,-0.022,-0.019,0.000,-85.570,4.267,-11.826
1747656496.83,0.017,-0.025,0.003,0.001,-0.078,0.025,-85.583,4.346,-11.720
1747656496.84,0.035,-0.040,-0.036,0.034,-0.114,0.045,-85.578,4.581,-11.427
1747656496.85,0.049,-0.053,-0.041,0.035,-0.118,0.041,-85.563,4.858,-11.082
1747656496.86,0.060,-0.027,-0.038,0.034,-0.115,0.025,-85.548,5.018,-10.856
1747656496.87,0.043,0.013,-0.042,0.061,-0.130,-0.002,-85.525,4.992,-10.813
1747656496.88,0.004,0.042,-0.061,0.127,-0.125,-0.039,-85.475,4.697,-11.032
1747656496.89,-0.026,0.052,-0.069,0.194,-0.080,-0.055,-85.386,4.183,-11.489
1747656496.90,-0.035,0.041,-0.063,0.206,-0.027,-0.050,-85.273,3.692,-11.952
1747656496.91,-0.043,0.020,-0.046,0.177,-0.004,-0.033,-85.165,3.340,-12.296
1747656496.92,-0.051,-0.011,-0.028,0.156,-0.005,-0.001,-85.070,3.179,-12.456
1747656496.93,-0.033,-0.046,-0.019,0.145,-0.000,0.054,-84.980,3.342,-12.292
1747656496.94,0.002,-0.072,-0.017,0.119,0.005,0.100,-84.898,3.853,-11.780
1747656496.95,0.030,-0.077,-0.012,0.064,0.009,0.098,-84.840,4.495,-11.139
1747656496.96,0.035,-0.046,-0.003,0.038,0.000,0.052,-84.807,4.949,-10.687
1747656496.97,0.014,-0.007,0.010,0.054,-0.032,0.009,-84.778,5.078,-10.549
1747656496.98,0.002,0.017,0.004,0.095,-0.104,0.001,-84.734,4.995,-10.595
1747656496.99,0.015,0.039,-0.018,0.152,-0.204,0.020,-84.661,4.866,-10.636
1747656497.00,0.041,0.052,-0.035,0.198,-0.299,0.036,-84.559,4.775,-10.584
1747656497.01,0.070,0.048,-0.048,0.238,-0.391,0.060,-84.432,4.736,-10.424
1747656497.02,0.078,0.028,-0.044,0.267,-0.410,0.057,-84.284,4.731,-10.197
1747656497.03,0.046,0.007,-0.016,0.293,-0.383,0.045,-84.120,4.674,-10.026
1747656497.04,-0.016,-0.007,0.008,0.299,-0.315,0.019,-83.949,4.543,-9.957
1747656497.05,-0.088,-0.014,0.034,0.262,-0.240,-0.012,-83.790,4.294,-10.047
1747656497.06,-0.148,-0.009,0.058,0.234,-0.121,-0.030,-83.651,3.981,-10.257
1747656497.07,-0.172,0.003,0.079,0.234,-0.012,-0.013,-83.519,3.738,-10.463
1747656497.08,-0.158,0.023,0.063,0.239,0.109,0.039,-83.384,3.748,-10.481
1747656497.09,-0.106,0.035,0.071,0.224,0.190,0.100,-83.249,4.104,-10.211
1747656497.10,-0.057,0.033,0.093,0.206,0.184,0.117,-83.123,4.653,-9.768
1747656497.11,-0.028,0.026,0.103,0.236,0.189,0.101,-82.993,5.188,-9.333
1747656497.12,-0.009,0.017,0.122,0.258,0.234,0.075,-82.847,5.598,-9.042
1747656497.13,-0.019,0.006,0.137,0.281,0.200,0.047,-82.693,5.875,-8.892
1747656497.14,-0.053,-0.011,0.081,0.341,0.131,0.035,-82.513,6.005,-8.857
1747656497.15,-0.066,-0.012,0.017,0.351,0.104,0.029,-82.312,6.049,-8.877
1747656497.16,-0.052,-0.005,0.038,0.326,0.146,0.041,-82.118,6.117,-8.879
1747656497.17,-0.016,0.004,0.064,0.347,0.173,0.051,-81.926,6.252,-8.837
1747656497.18,0.026,0.015,0.048,0.380,0.197,0.048,-81.716,6.397,-8.796
1747656497.19,0.060,0.025,0.051,0.369,0.224,0.048,-81.499,6.535,-8.778
1747656497.20,0.077,0.026,0.080,0.361,0.159,0.048,-81.291,6.675,-8.751
1747656497.21,0.049,0.014,0.069,0.415,0.047,0.036,-81.070,6.719,-8.764
1747656497.22,0.004,-0.009,0.044,0.450,0.025,0.030,-80.819,6.668,-8.834
1747656497.23,-0.004,-0.034,0.052,0.448,0.053,0.041,-80.561,6.632,-8.892
1747656497.24,0.007,-0.044,0.065,0.475,0.103,0.050,-80.298,6.655,-8.913
1747656497.25,0.008,-0.023,0.070,0.518,0.134,0.044,-80.013,6.691,-8.947
1747656497.26,-0.011,0.017,0.071,0.527,0.102,0.023,-79.714,6.674,-9.034
1747656497.27,-0.045,0.045,0.070,0.526,0.065,0.013,-79.414,6.587,-9.171
1747656497.28,-0.054,0.043,0.060,0.546,0.063,0.026,-79.109,6.499,-9.297
1747656497.29,-0.043,0.029,0.042,0.580,0.085,0.028,-78.789,6.438,-9.401
1747656497.30,-0.046,0.010,0.029,0.625,0.154,0.035,-78.443,6.397,-9.511
1747656497.31,-0.049,-0.027,0.044,0.603,0.195,0.069,-78.088,6.449,-9.561
1747656497.32,-0.058,-0.067,0.039,0.557,0.190,0.093,-77.755,6.599,-9.521
1747656497.33,-0.055,-0.095,-0.031,0.527,0.235,0.133,-77.441,6.839,-9.397
1747656497.34,0.007,-0.091,-0.077,0.507,0.263,0.169,-77.138,7.206,-9.168
1747656497.35,0.073,-0.038,-0.094,0.545,0.255,0.167,-76.831,7.606,-8.910
1747656497.36,0.097,0.030,-0.085,0.647,0.226,0.114,-76.483,7.892,-8.759
1747656497.37,0.058,0.087,-0.062,0.747,0.107,0.012,-76.083,7.916,-8.834
1747656497.38,-0.045,0.113,-0.086,0.830,0.006,-0.089,-75.640,7.604,-9.186
1747656497.39,-0.126,0.071,-0.095,0.842,-0.023,-0.100,-75.170,7.147,-9.652
1747656497.40,-0.126,-0.001,-0.056,0.750,0.022,-0.055,-74.723,6.767,-10.042
1747656497.41,-0.078,-0.068,0.010,0.720,0.179,0.006,-74.313,6.600,-10.274
1747656497.42,-0.021,-0.113,0.047,0.813,0.301,0.043,-73.878,6.617,-10.403
1747656497.43,0.010,-0.109,0.013,0.847,0.343,0.067,-73.398,6.723,-10.490
1747656497.44,0.016,-0.062,-0.033,0.787,0.290,0.119,-72.927,6.894,-10.502
1747656497.45,0.004,-0.014,-0.067,0.731,0.279,0.198,-72.486,7.173,-10.376
1747656497.46,0.020,0.013,-0.037,0.705,0.346,0.224,-72.065,7.567,-10.149
1747656497.47,0.042,0.027,0.042,0.732,0.292,0.191,-71.644,7.949,-9.943
1747656497.48,0.040,0.027,0.071,0.792,0.231,0.164,-71.198,8.208,-9.871
1747656497.49,0.044,0.011,0.085,0.827,0.173,0.175,-70.727,8.406,-9.787
1747656497.50,0.033,0.001,0.067,0.862,0.043,0.196,-70.234,8.562,-9.742
1747656497.51,-0.005,0.000,0.028,0.872,-0.026,0.188,-69.725,8.660,-9.638
1747656497.52,-0.022,-0.010,0.053,0.859,0.038,0.186,-69.221,8.741,-9.600
1747656497.53,-0.018,-0.026,0.065,0.902,0.137,0.157,-68.711,8.853,-9.535
1747656497.54,-0.052,-0.022,0.052,0.939,0.100,0.092,-68.178,8.897,-9.617
1747656497.55,-0.124,-0.006,0.039,0.923,0.014,0.072,-67.644,8.827,-9.722
1747656497.56,-0.160,0.007,0.022,0.904,0.037,0.084,-67.122,8.751,-9.866
1747656497.57,-0.121,0.022,-0.005,0.880,0.128,0.123,-66.609,8.752,-9.915
1747656497.58,-0.039,0.029,-0.018,0.862,0.271,0.134,-66.106,8.856,-9.976
1747656497.59,0.028,0.023,0.076,0.887,0.386,0.077,-65.604,9.021,-10.017
1747656497.60,0.043,0.012,0.137,0.955,0.243,0.033,-65.082,9.085,-10.190
1747656497.61,0.020,0.001,0.053,1.012,0.165,0.072,-64.521,9.067,-10.334
1747656497.62,0.018,-0.033,-0.004,0.981,0.126,0.151,-63.945,9.093,-10.442
1747656497.63,0.025,-0.073,-0.033,0.905,0.102,0.210,-63.399,9.190,-10.402
1747656497.64,0.062,-0.117,-0.056,0.932,0.117,0.212,-62.869,9.327,-10.365
1747656497.65,0.082,-0.137,-0.070,1.045,0.158,0.105,-62.297,9.412,-10.356
1747656497.66,0.025,-0.107,-0.064,1.137,0.147,-0.095,-61.681,9.318,-10.627
1747656497.67,-0.102,-0.052,-0.044,1.195,0.063,-0.237,-61.037,9.003,-11.053
1747656497.68,-0.204,0.002,-0.039,1.143,0.065,-0.229,-60.394,8.613,-11.598
1747656497.69,-0.201,0.035,-0.079,1.070,0.093,-0.124,-59.787,8.315,-11.996
1747656497.70,-0.117,0.035,-0.107,1.008,0.177,0.021,-59.205,8.198,-12.276
1747656497.71,0.016,0.001,-0.041,0.954,0.269,0.168,-58.647,8.280,-12.328
1747656497.72,0.162,-0.044,0.054,1.015,0.279,0.230,-58.076,8.501,-12.315
1747656497.73,0.215,-0.077,0.081,1.113,0.139,0.174,-57.457,8.659,-12.273
1747656497.74,0.174,-0.082,0.027,1.111,-0.031,0.172,-56.810,8.687,-12.342
1747656497.75,0.153,-0.080,-0.021,1.040,-0.128,0.228,-56.185,8.671,-12.306
1747656497.76,0.150,-0.074,0.011,1.009,-0.212,0.282,-55.588,8.656,-12.205
1747656497.77,0.141,-0.049,0.063,1.040,-0.220,0.326,-54.984,8.650,-12.057
1747656497.78,0.140,0.000,0.110,1.009,-0.146,0.339,-54.374,8.688,-11.882
1747656497.79,0.085,0.055,0.135,0.937,-0.100,0.331,-53.796,8.764,-11.705
1747656497.80,-0.004,0.096,0.074,0.901,-0.102,0.333,-53.251,8.855,-11.523
1747656497.81,-0.060,0.103,0.029,0.906,-0.177,0.355,-52.710,8.929,-11.336
1747656497.82,-0.077,0.092,-0.014,0.911,-0.277,0.375,-52.164,8.961,-11.129
