Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747667642.18,-0.051,-0.012,-0.016,0.050,0.087,0.002,-86.762,5.814,11.465
1747667642.19,-0.020,-0.019,-0.010,0.013,0.081,0.014,-86.735,5.846,11.448
1747667642.20,0.003,-0.011,0.005,-0.012,0.061,0.023,-86.722,5.958,11.520
1747667642.20,0.005,-0.002,0.009,-0.017,0.061,-0.002,-86.717,5.981,11.510
1747667642.20,0.003,-0.008,0.018,-0.003,0.048,0.002,-86.718,5.862,11.359
1747667642.21,0.005,-0.010,0.022,0.012,0.014,0.010,-86.715,5.728,11.206
1747667642.22,-0.008,0.001,0.008,0.027,-0.012,-0.003,-86.707,5.394,10.872
1747667642.23,-0.013,0.011,-0.011,0.038,-0.015,-0.008,-86.689,4.912,10.400
1747667642.24,-0.008,0.016,-0.012,0.030,-0.014,-0.015,-86.667,4.482,9.977
1747667642.25,-0.008,0.021,-0.002,0.016,-0.026,-0.028,-86.653,4.153,9.659
1747667642.26,-0.013,0.022,0.009,0.005,-0.031,-0.030,-86.650,3.886,9.409
1747667642.27,-0.012,0.014,0.018,-0.008,-0.019,-0.037,-86.656,3.592,9.128
1747667642.28,-0.018,-0.003,0.033,-0.008,-0.023,-0.046,-86.668,3.205,8.752
1747667642.29,-0.028,-0.019,0.025,-0.005,-0.037,-0.045,-86.681,2.796,8.360
1747667642.30,-0.028,-0.023,0.017,-0.012,-0.061,-0.035,-86.690,2.339,7.930
1747667642.31,-0.021,-0.021,0.011,-0.016,-0.075,-0.023,-86.695,1.948,7.578
1747667642.32,-0.013,-0.011,-0.001,0.001,-0.044,-0.019,-86.695,1.672,7.338
1747667642.33,-0.001,0.003,-0.010,0.024,-0.008,-0.010,-86.686,1.466,7.145
1747667642.34,-0.001,0.016,-0.017,0.020,0.007,0.000,-86.677,1.351,7.030
1747667642.35,-0.012,0.016,-0.025,0.026,0.024,0.006,-86.673,1.324,6.995
1747667642.36,-0.021,0.006,-0.031,0.019,0.036,0.010,-86.673,1.298,6.951
1747667642.37,-0.029,-0.014,-0.007,0.003,0.045,0.013,-86.678,1.211,6.842
1747667642.38,-0.031,-0.031,0.015,-0.004,0.036,0.025,-86.686,1.226,6.835
1747667642.39,-0.023,-0.026,0.013,0.001,0.013,0.031,-86.691,1.380,6.974
1747667642.40,-0.017,0.002,0.003,0.013,-0.012,0.018,-86.687,1.525,7.120
1747667642.41,-0.017,0.016,-0.008,0.043,-0.036,0.005,-86.667,1.597,7.206
1747667642.42,-0.015,0.011,-0.017,0.065,-0.021,0.007,-86.628,1.604,7.230
1747667642.43,-0.008,-0.006,-0.019,0.059,-0.000,0.012,-86.583,1.584,7.218
1747667642.44,-0.004,-0.014,-0.016,0.065,0.015,0.002,-86.537,1.507,7.136
1747667642.45,-0.005,-0.009,-0.023,0.074,0.029,-0.009,-86.495,1.263,6.880
1747667642.46,-0.005,0.009,-0.023,0.082,0.041,-0.002,-86.459,1.003,6.599
1747667642.47,-0.008,0.012,-0.013,0.089,0.051,0.026,-86.416,0.963,6.534
1747667642.48,-0.013,0.000,0.005,0.071,0.070,0.048,-86.372,1.219,6.757
1747667642.49,-0.024,-0.005,0.019,0.046,0.051,0.049,-86.339,1.588,7.091
1747667642.50,-0.031,-0.002,0.011,0.049,0.041,0.031,-86.308,1.865,7.345
1747667642.51,-0.028,0.006,0.016,0.057,0.024,0.015,-86.272,2.011,7.471
1747667642.52,-0.023,0.010,0.027,0.069,-0.012,0.011,-86.231,2.064,7.521
1747667642.53,-0.018,0.006,0.026,0.088,-0.027,0.000,-86.180,2.036,7.504
1747667642.54,-0.008,0.004,0.023,0.112,-0.035,0.000,-86.116,1.953,7.438
1747667642.55,0.002,0.007,0.017,0.148,-0.050,-0.005,-86.039,1.820,7.328
1747667642.56,0.004,0.016,0.002,0.179,-0.057,-0.011,-85.950,1.610,7.150
1747667642.57,-0.002,0.018,-0.003,0.221,-0.056,-0.018,-85.848,1.302,6.874
1747667642.58,-0.011,0.008,0.001,0.277,-0.033,-0.015,-85.713,0.954,6.551
1747667642.59,-0.017,0.001,0.006,0.282,-0.031,0.016,-85.563,0.772,6.387
1747667642.60,-0.020,-0.009,0.023,0.258,-0.065,0.042,-85.424,0.830,6.472
1747667642.61,-0.037,-0.006,0.023,0.264,-0.109,0.030,-85.292,0.929,6.623
1747667642.62,-0.047,-0.001,0.012,0.286,-0.094,0.020,-85.149,0.969,6.724
1747667642.63,-0.034,-0.015,0.023,0.294,-0.046,0.025,-84.997,1.059,6.855
1747667642.64,-0.015,-0.027,0.033,0.326,0.001,0.023,-84.830,1.187,6.995
1747667642.65,-0.004,-0.022,0.028,0.401,0.025,0.017,-84.630,1.271,7.070
1747667642.66,-0.001,0.001,0.007,0.482,0.005,0.009,-84.386,1.253,7.041
1747667642.67,-0.003,0.019,-0.013,0.565,-0.026,0.011,-84.097,1.180,6.976
1747667642.68,-0.003,0.022,-0.014,0.651,-0.045,0.024,-83.748,1.177,6.993
1747667642.69,-0.007,0.017,-0.017,0.703,-0.054,0.048,-83.360,1.249,7.096
1747667642.70,-0.019,-0.000,-0.003,0.719,-0.000,0.089,-82.951,1.459,7.325
1747667642.71,-0.025,-0.023,0.041,0.691,0.115,0.142,-82.545,1.913,7.750
1747667642.72,-0.041,-0.032,0.087,0.599,0.174,0.174,-82.171,2.570,8.328
1747667642.73,-0.076,-0.024,0.100,0.499,0.168,0.182,-81.856,3.287,8.951
1747667642.74,-0.102,-0.025,0.079,0.533,0.127,0.174,-81.560,3.932,9.519
1747667642.75,-0.096,-0.041,0.054,0.626,0.144,0.181,-81.222,4.515,10.032
1747667642.76,-0.050,-0.042,0.064,0.684,0.163,0.177,-80.839,5.050,10.484
1747667642.77,-0.003,-0.012,0.062,0.704,0.090,0.162,-80.434,5.492,10.854
1747667642.78,0.021,0.028,0.029,0.761,-0.043,0.146,-80.011,5.777,11.129
1747667642.79,0.032,0.066,0.019,0.820,-0.136,0.139,-79.551,5.916,11.324
1747667642.80,0.023,0.087,0.071,0.829,-0.199,0.133,-79.074,5.969,11.475
1747667642.81,-0.021,0.074,0.081,0.874,-0.263,0.112,-78.585,5.935,11.577
1747667642.82,-0.081,0.036,0.025,0.924,-0.226,0.105,-78.066,5.827,11.612
1747667642.83,-0.105,-0.010,0.016,0.886,-0.180,0.132,-77.544,5.779,11.679
1747667642.84,-0.117,-0.044,0.017,0.869,-0.149,0.129,-77.040,5.794,11.794
1747667642.85,-0.112,-0.041,0.004,0.877,-0.076,0.106,-76.536,5.802,11.869
1747667642.86,-0.080,-0.020,0.031,0.881,-0.000,0.082,-76.033,5.791,11.879
1747667642.87,-0.050,-0.005,0.044,0.925,-0.015,0.090,-75.516,5.770,11.857
1747667642.88,-0.031,0.011,0.005,0.955,-0.014,0.117,-74.974,5.779,11.965
1747667642.89,-0.018,0.027,0.010,0.958,0.064,0.126,-74.424,5.839,12.014
1747667642.90,-0.019,0.012,0.038,1.003,0.087,0.144,-73.859,5.959,12.186
1747667642.91,-0.029,-0.015,-0.005,0.976,0.063,0.163,-73.284,6.084,12.406
1747667642.92,0.006,-0.033,0.006,0.874,0.148,0.234,-72.746,6.317,12.590
1747667642.93,0.044,-0.055,0.058,0.852,0.232,0.218,-72.246,6.672,12.975
1747667642.94,0.053,-0.054,0.028,0.898,0.168,0.204,-71.735,6.973,13.167
1747667642.95,0.060,-0.042,-0.025,0.935,0.023,0.213,-71.201,7.189,13.478
1747667642.96,0.069,-0.020,-0.046,0.995,-0.132,0.238,-70.638,7.322,13.652
1747667642.97,0.060,0.007,-0.055,1.029,-0.231,0.168,-70.047,7.337,13.930
1747667642.98,0.034,0.041,-0.030,1.103,-0.227,0.090,-69.436,7.191,13.919
1747667642.99,0.009,0.041,-0.012,1.129,-0.165,0.014,-68.794,6.948,13.931
1747667643.00,-0.031,0.010,0.001,1.022,-0.073,-0.010,-68.183,6.688,13.727
1747667643.01,-0.064,-0.054,-0.009,0.980,-0.006,0.014,-67.617,6.510,13.714
1747667643.02,-0.092,-0.104,-0.071,0.959,0.015,0.028,-67.066,6.392,13.582
1747667643.03,-0.096,-0.117,-0.062,0.970,0.043,0.127,-66.516,6.355,13.694
1747667643.04,-0.062,-0.098,-0.025,0.974,0.110,0.159,-65.954,6.452,13.751
1747667643.05,-0.008,-0.035,0.008,0.992,0.141,0.156,-65.386,6.582,13.987
1747667643.06,0.017,0.006,-0.001,1.028,0.083,0.181,-64.805,6.707,14.052
1747667643.07,0.035,0.033,-0.025,1.054,0.084,0.137,-64.201,6.797,14.290
1747667643.08,0.075,0.042,-0.018,1.007,0.097,0.088,-63.608,6.835,14.274
1747667643.09,0.091,0.005,0.009,1.059,0.037,0.070,-63.021,6.821,14.409
1747667643.10,0.100,-0.025,-0.029,1.076,-0.027,0.085,-62.406,6.764,14.344
1747667643.11,0.110,-0.033,0.012,1.048,-0.050,0.125,-61.797,6.719,14.509
1747667643.12,0.109,-0.033,0.030,0.988,-0.121,0.163,-61.208,6.696,14.536
1747667643.13,0.093,-0.034,-0.014,0.967,-0.182,0.183,-60.644,6.671,14.816
1747667643.14,0.074,-0.029,-0.031,0.954,-0.275,0.165,-60.086,6.604,14.888
1747667643.15,0.059,-0.024,-0.014,0.930,-0.340,0.159,-59.542,6.476,15.152
1747667643.16,0.054,-0.020,0.016,0.951,-0.362,0.141,-59.002,6.321,15.202
1747667643.17,0.025,0.000,0.026,1.002,-0.429,0.112,-58.439,6.116,15.433
1747667643.18,-0.012,0.039,-0.007,1.046,-0.472,0.066,-57.851,5.840,15.415
1747667643.19,-0.035,0.074,-0.027,1.140,-0.431,0.003,-57.230,5.513,15.558
1747667643.20,-0.057,0.088,0.002,1.180,-0.286,-0.067,-56.568,5.182,15.411
1747667643.21,-0.099,0.079,0.065,1.170,-0.147,-0.122,-55.904,4.891,15.440
1747667643.22,-0.155,0.049,0.056,1.139,-0.175,-0.138,-55.253,4.613,15.208
1747667643.23,-0.170,-0.007,-0.034,1.065,-0.232,-0.067,-54.628,4.336,15.125
1747667643.24,-0.097,-0.071,-0.050,0.960,-0.176,0.079,-54.051,4.159,15.058
1747667643.25,0.011,-0.109,0.045,0.930,-0.062,0.090,-53.512,4.112,15.203
1747667643.26,0.083,-0.096,0.095,0.970,-0.034,0.075,-52.969,4.098,15.215
1747667643.27,0.112,-0.048,0.072,1.038,-0.073,0.080,-52.394,4.073,15.491
1747667643.28,0.125,0.026,0.045,1.089,-0.096,0.065,-51.784,4.022,15.490
1747667643.29,0.110,0.084,0.053,1.122,-0.084,0.026,-51.152,3.948,15.460
1747667643.30,0.067,0.104,0.041,1.152,-0.100,-0.021,-50.503,3.841,15.391
1747667643.31,0.016,0.094,0.031,1.128,-0.081,-0.043,-49.852,3.714,15.293
1747667643.32,-0.014,0.052,0.052,1.064,-0.086,-0.022,-49.229,3.603,15.202
1747667643.33,-0.028,-0.002,-0.005,1.036,-0.139,0.012,-48.633,3.490,15.139
1747667643.34,-0.004,-0.039,-0.029,0.994,-0.166,0.049,-48.052,3.382,15.112
1747667643.35,0.017,-0.051,0.015,0.954,-0.158,0.099,-47.496,3.299,15.127
1747667643.36,0.028,-0.040,0.040,0.964,-0.144,0.139,-46.947,3.254,15.183
1747667643.37,0.012,-0.010,0.040,1.014,-0.125,0.127,-46.379,3.227,15.250
1747667643.38,-0.027,0.033,0.021,1.092,-0.132,0.044,-45.777,3.172,15.275
