Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1746584544.81,0.044,-0.034,-0.024,0.064,-0.034,0.105,11.395,1.744,38.485
1746584544.83,0.088,-0.009,0.049,-0.059,-0.098,0.226,11.418,1.590,38.648
1746584544.85,0.009,0.018,0.070,-0.046,-0.639,0.251,11.348,1.116,38.993
1746584544.87,-0.053,-0.004,0.100,0.020,-0.759,-0.063,11.328,0.236,39.101
1746584544.89,-0.004,-0.048,0.036,-0.090,-0.563,-0.071,11.299,-0.514,38.989
1746584544.91,0.042,-0.039,0.130,-0.530,0.462,0.063,11.013,-0.645,39.006
1746584544.93,0.001,-0.053,-0.066,-0.720,0.250,0.260,10.228,-0.173,39.212
1746584544.95,0.117,0.003,-0.013,-0.558,-0.250,0.447,9.494,-0.223,39.610
1746584544.97,0.042,-0.009,0.082,-0.424,-0.036,0.352,8.915,-0.615,40.148
1746584544.99,-0.169,0.097,-0.114,-0.118,0.569,-0.153,8.614,-0.207,40.224
1746584545.01,0.035,-0.105,-0.135,-0.037,0.632,-0.175,8.541,0.507,40.010
1746584545.03,0.024,-0.102,0.066,-0.154,0.577,-0.096,8.436,1.236,39.849
1746584545.05,0.072,-0.045,0.231,0.116,1.212,-0.079,8.394,2.263,39.730
1746584545.07,0.070,-0.148,0.046,0.331,0.825,0.074,8.668,3.511,39.704
1746584545.09,0.060,-0.104,0.143,0.273,0.822,0.239,9.069,4.335,39.877
1746584545.11,0.027,0.000,0.080,0.092,1.022,0.185,9.280,5.495,40.123
1746584545.13,-0.048,0.143,-0.191,0.034,0.149,0.093,9.367,6.192,40.276
1746584545.15,-0.045,0.174,-0.007,0.148,-0.479,-0.060,9.455,5.931,40.289
1746584545.17,-0.068,0.212,-0.118,0.211,-1.168,-0.137,9.688,5.082,40.109
1746584545.19,-0.045,0.125,0.016,-0.170,-0.566,0.297,9.763,3.810,40.205
1746584545.21,-0.035,0.122,-0.016,-0.404,0.683,0.475,9.429,3.891,40.676
1746584545.23,-0.038,0.162,-0.031,-0.342,0.874,-0.086,8.966,4.688,40.975
1746584545.25,0.056,-0.060,0.202,0.124,0.824,-0.098,8.881,5.770,40.827
1746584545.27,0.002,0.016,-0.042,0.110,0.114,-0.196,9.003,6.344,40.647
1746584545.29,0.145,0.019,-0.119,0.061,0.078,-0.053,9.096,6.345,40.475
1746584545.31,-0.036,0.185,0.184,-0.212,0.963,-0.129,9.038,6.964,40.405
1746584545.33,0.016,0.106,0.220,-0.663,1.215,-0.281,8.466,8.294,40.230
1746584545.35,-0.018,0.027,0.246,-0.628,1.119,0.243,7.700,9.636,40.248
1746584545.37,-0.120,-0.028,0.322,-0.081,-0.843,0.743,7.531,9.482,40.893
1746584545.39,0.089,0.259,0.394,-0.867,-0.922,1.495,7.184,8.320,42.143
1746584545.41,0.107,0.219,0.370,-1.705,-1.225,2.067,6.052,6.758,44.393
1746584545.43,-0.064,0.372,0.420,-2.506,-0.591,1.867,3.811,5.419,46.999
1746584545.45,-0.258,0.351,0.027,-1.819,0.779,1.263,1.436,5.454,49.002
1746584545.47,-0.378,0.390,0.218,-1.652,1.348,0.791,-0.270,6.716,50.347
1746584545.49,-0.203,0.421,0.503,-2.613,0.976,0.617,-2.535,8.111,51.405
1746584545.51,-0.019,0.521,0.451,-3.651,0.719,0.850,-5.993,9.082,52.732
1746584545.53,0.028,0.467,0.189,-3.925,1.149,1.028,-10.119,10.360,54.602
1746584545.55,-0.186,0.369,-0.080,-4.041,2.026,0.464,-14.409,12.481,56.410
1746584545.57,-0.166,0.389,-0.436,-3.512,2.752,-0.227,-18.664,15.602,57.625
1746584545.59,0.131,0.249,-0.396,-2.776,2.902,-0.222,-22.125,19.190,58.421
1746584545.61,0.314,0.285,-0.140,-2.660,2.620,0.186,-24.985,22.783,59.571
1746584545.63,0.107,0.256,-0.059,-2.886,2.441,0.062,-27.771,26.365,61.250
1746584545.65,-0.003,0.182,-0.137,-3.061,3.096,-0.455,-30.891,30.322,62.905
1746584545.67,0.158,0.198,-0.354,-2.666,3.483,-0.690,-34.079,34.900,64.309
1746584545.69,0.475,0.202,-0.341,-2.313,2.998,-0.262,-36.660,39.515,65.807
1746584545.71,0.683,0.197,-0.260,-2.425,2.529,0.387,-38.616,44.050,68.143
1746584545.73,0.468,0.032,-0.366,-2.292,2.547,0.531,-40.078,48.892,71.243
1746584545.75,0.225,-0.120,-0.490,-1.886,2.728,0.254,-41.231,53.720,74.070
1746584545.77,0.281,-0.191,-0.566,-1.162,2.664,0.090,-42.066,58.163,76.120
1746584545.79,0.575,-0.134,-0.388,-0.963,2.849,0.309,-42.467,62.298,77.594
1746584545.81,0.686,-0.149,-0.263,-1.252,2.827,0.736,-42.476,66.845,79.462
1746584545.83,0.603,-0.282,-0.314,-1.290,2.355,1.258,-41.930,71.460,81.911
1746584545.85,0.249,-0.432,-0.387,-0.935,1.716,1.326,-40.830,75.254,84.103
1746584545.87,-0.006,-0.561,-0.363,-0.682,1.243,0.992,-39.731,77.921,85.675
1746584545.89,-0.046,-0.489,-0.378,-0.402,1.065,0.554,-39.002,79.836,86.690
1746584545.91,0.111,-0.311,-0.247,-0.276,1.047,0.423,-38.546,81.434,87.239
1746584545.92,0.162,-0.242,-0.116,-0.513,0.574,0.599,-38.031,82.806,87.890
1746584545.95,-0.254,-0.237,-0.422,0.135,0.566,0.206,-37.565,83.686,88.357
1746584545.97,-0.436,-0.302,-0.508,0.864,0.672,-0.105,-37.492,83.938,87.593
1746584545.98,-0.210,-0.165,-0.481,1.285,0.612,-0.045,-37.438,83.766,86.048
1746584546.01,-0.024,-0.044,-0.113,1.173,1.181,-0.117,-37.353,83.646,84.142
1746584546.03,-0.018,0.087,0.113,0.544,1.271,-0.299,-37.510,84.346,82.888
1746584546.05,-0.001,-0.022,0.105,0.342,0.625,-0.147,-37.739,85.107,82.274
1746584546.06,-0.114,-0.150,0.108,0.137,-0.167,-0.098,-37.850,85.078,81.895
1746584546.08,-0.109,-0.158,-0.002,0.231,-0.635,-0.272,-38.031,84.467,81.668
1746584546.10,-0.139,-0.061,0.018,0.277,-1.099,-0.590,-38.472,83.225,81.207
1746584546.12,-0.199,-0.097,-0.163,0.676,-2.095,-1.035,-39.323,80.938,80.414
1746584546.14,-0.337,-0.069,-0.136,1.006,-2.384,-1.591,-40.559,77.235,78.745
1746584546.16,-0.374,0.188,0.024,0.741,-2.195,-2.367,-42.496,73.219,76.600
1746584546.18,0.103,0.505,0.139,0.443,-1.988,-2.220,-44.867,69.490,74.577
1746584546.20,0.465,0.385,0.065,0.341,-1.765,-1.303,-46.550,65.991,72.891
1746584546.22,-0.105,0.077,0.027,-0.043,-0.956,-1.440,-47.719,63.804,71.719
1746584546.24,-0.360,0.151,0.004,-0.626,-0.839,-2.264,-49.866,62.096,70.826
1746584546.26,-0.070,0.083,-0.168,-0.843,-1.469,-1.869,-52.374,60.208,70.191
1746584546.28,0.199,0.127,0.027,-0.892,-0.925,-1.446,-54.473,58.736,70.002
1746584546.30,0.148,0.007,-0.025,-0.985,-0.200,-1.368,-56.393,58.196,70.192
1746584546.32,0.119,-0.001,-0.011,-0.847,0.626,-1.518,-58.328,58.581,70.301
1746584546.34,0.104,-0.100,0.038,-0.789,1.412,-1.671,-60.378,59.457,69.941
1746584546.36,-0.086,-0.320,0.105,-1.088,2.276,-1.471,-62.461,61.617,69.972
1746584546.38,-0.146,-0.356,0.018,-1.629,2.307,-1.492,-64.643,65.638,71.425
1746584546.40,-0.262,-0.328,-0.033,-2.165,1.629,-1.583,-67.090,70.971,74.748
1746584546.42,-0.290,-0.356,-0.051,-2.544,0.817,-1.317,-69.463,77.792,80.611
1746584546.44,-0.199,-0.298,-0.077,-2.765,-0.107,-0.900,-71.080,86.091,88.929
1746584546.46,0.083,0.466,-0.109,-2.632,-1.638,-0.702,-71.963,94.796,99.000
1746584546.48,0.193,1.269,-0.232,-1.200,-4.615,-0.265,-72.306,98.020,106.313
1746584546.50,0.074,1.378,0.285,0.317,-3.190,0.219,-72.206,94.673,108.055
1746584546.52,-0.118,0.536,0.310,1.558,0.632,-0.064,-72.097,89.817,104.197
1746584546.54,-0.025,-0.150,-0.227,1.344,0.203,-0.603,-72.422,85.041,98.439
1746584546.56,0.133,-0.332,-0.252,0.767,-0.907,-0.785,-73.079,80.400,94.061
1746584546.58,0.123,-0.125,-0.086,0.529,-0.706,-0.695,-73.785,76.501,91.061
1746584546.60,0.001,0.064,-0.002,0.624,-0.260,-0.718,-74.352,73.104,88.044
1746584546.62,-0.038,0.092,-0.079,0.637,-0.619,-0.997,-75.037,68.876,84.151
1746584546.64,0.078,-0.134,-0.088,0.250,-0.378,-1.309,-76.109,64.973,80.731
1746584546.66,0.166,0.100,-0.159,0.177,-1.029,-1.545,-77.431,60.012,76.333
1746584546.68,0.124,0.071,-0.098,-0.063,-1.627,-1.234,-78.795,53.938,71.750
1746584546.70,-0.031,-0.047,-0.111,-0.095,-1.813,-0.563,-79.679,49.154,68.890
1746584546.72,-0.104,-0.194,-0.037,0.168,-1.435,-0.114,-79.923,45.810,67.504
1746584546.74,-0.145,-0.270,0.216,0.253,0.260,0.080,-79.719,43.775,66.165
1746584546.76,-0.338,-0.188,0.240,-0.102,0.659,-0.149,-79.625,44.416,66.025
1746584546.78,-0.169,-0.160,0.171,-0.377,-0.713,-0.815,-80.229,43.031,64.626
1746584546.80,-0.272,0.241,0.126,-0.503,-1.332,-1.204,-81.441,38.129,60.981
1746584546.82,-0.125,-0.025,0.063,-0.513,-0.613,-0.837,-82.602,32.242,56.254
1746584546.84,-0.033,-0.207,0.106,-0.576,0.546,-0.336,-83.490,30.153,54.185
1746584546.86,0.090,-0.156,0.097,-0.613,0.915,-0.214,-84.170,32.756,55.834
1746584546.88,-0.007,0.173,0.071,-0.301,0.948,-0.414,-84.861,33.120,55.144
1746584546.90,-0.050,-0.058,-0.051,-0.277,0.546,-0.329,-85.318,31.860,52.990
1746584546.92,-0.026,-0.175,-0.068,-0.452,0.157,-0.147,-85.828,31.869,52.598
1746584546.94,-0.025,-0.161,-0.114,-0.320,0.074,0.135,-86.234,35.747,56.373
1746584546.96,-0.095,0.114,-0.286,0.171,0.210,0.257,-86.167,39.735,60.241
1746584546.98,-0.165,0.303,-0.391,0.553,0.653,0.212,-85.635,39.233,59.270
1746584547.00,-0.119,0.305,-0.343,0.217,0.812,0.039,-85.151,37.503,56.597
1746584547.02,0.022,0.138,-0.276,-0.433,-0.130,-0.222,-85.303,38.388,57.033
1746584547.04,0.225,-0.043,-0.158,-0.830,-1.462,-0.700,-86.252,37.866,57.472
1746584547.06,0.408,-0.180,0.118,-0.737,-1.695,-0.840,-87.544,31.733,53.237
1746584547.08,0.374,-0.126,0.232,-0.317,-1.526,-0.293,-88.396,20.344,43.663
