Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1747601130.08,-0.028,0.019,-0.003,0.015,0.021,-0.052,-88.099,-9.251,-41.601
1747601130.09,-0.030,0.008,-0.004,0.020,0.059,-0.058,-88.073,-11.259,-43.658
1747601130.11,-0.009,-0.006,0.001,-0.010,0.068,-0.041,-88.077,-12.884,-45.360
1747601130.14,0.025,-0.010,0.006,-0.019,0.047,0.004,-88.091,-13.361,-45.902
1747601130.15,0.044,-0.015,0.015,-0.012,0.031,0.018,-88.113,-13.225,-45.817
1747601130.17,0.026,0.004,-0.004,0.001,-0.026,0.017,-88.115,-12.997,-45.588
1747601130.19,0.010,0.010,-0.007,0.017,-0.049,0.015,-88.107,-12.710,-45.256
1747601130.21,0.011,0.001,0.004,-0.010,-0.067,-0.030,-88.108,-12.479,-44.959
1747601130.23,0.016,-0.010,0.008,-0.007,-0.095,-0.007,-88.130,-12.819,-45.206
1747601130.25,-0.006,0.003,0.017,0.017,-0.081,-0.025,-88.127,-12.843,-45.129
1747601130.27,-0.023,0.001,0.010,0.038,-0.022,-0.039,-88.080,-13.466,-45.688
1747601130.29,-0.021,-0.001,0.009,0.023,-0.007,-0.031,-88.036,-14.237,-46.447
1747601130.31,0.001,-0.006,0.014,-0.004,0.006,-0.009,-88.032,-14.674,-46.886
1747601130.34,0.018,-0.011,0.029,0.005,0.006,-0.013,-88.054,-14.882,-47.102
1747601130.35,0.003,-0.004,0.019,-0.004,0.011,-0.019,-88.053,-15.822,-48.057
1747601130.37,-0.003,-0.003,-0.011,0.011,-0.033,0.006,-88.050,-16.631,-48.853
1747601130.39,0.028,-0.012,-0.024,0.027,-0.051,0.038,-88.047,-15.901,-48.079
1747601130.41,0.047,-0.008,-0.058,0.045,-0.049,0.061,-88.044,-13.888,-46.001
1747601130.43,0.055,0.022,-0.075,0.090,-0.000,0.031,-87.990,-11.874,-43.956
1747601130.45,0.031,0.037,-0.075,0.139,0.029,-0.007,-87.855,-10.974,-43.082
1747601130.47,0.039,-0.014,-0.047,0.106,0.002,0.051,-87.717,-9.300,-41.421
1747601130.49,-0.013,-0.020,-0.011,0.108,0.011,0.022,-87.597,-7.647,-39.772
1747601130.51,-0.024,-0.029,-0.003,0.102,-0.002,0.009,-87.459,-6.443,-38.578
1747601130.53,-0.017,0.025,0.011,0.119,0.008,-0.002,-87.304,-5.815,-37.953
