Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1746585236.10,0.041,0.038,-0.010,0.338,-0.194,-0.623,17.022,3.793,32.193
1746585236.11,-0.013,0.023,0.075,0.402,-0.229,-0.633,17.380,3.695,31.321
1746585236.13,0.064,0.012,0.225,0.484,0.040,-0.041,17.885,3.801,30.904
1746585236.15,0.000,-0.092,0.029,0.584,-0.266,0.169,18.465,3.636,30.965
1746585236.17,0.032,0.012,0.071,0.807,0.888,0.187,19.254,3.588,31.177
1746585236.19,0.043,0.248,0.422,0.337,2.089,-0.219,20.068,5.581,31.096
1746585236.21,-0.058,-0.008,0.105,-0.371,0.706,-0.031,19.959,7.518,30.869
1746585236.23,0.007,-0.085,-0.288,-0.069,-0.591,0.415,19.684,7.132,31.192
1746585236.25,-0.055,0.048,0.127,0.214,-0.158,0.310,19.861,6.671,31.592
1746585236.27,-0.024,0.063,-0.063,-0.068,-0.517,0.262,19.999,6.149,31.944
1746585236.29,-0.036,0.112,-0.076,-0.186,0.106,0.170,19.851,5.765,32.197
1746585236.31,-0.057,0.046,0.066,-0.048,1.035,0.477,19.757,6.302,32.586
1746585236.33,-0.073,0.070,0.148,-0.211,2.154,0.660,19.697,7.965,33.259
1746585236.35,-0.180,0.069,0.135,-0.425,2.587,0.561,19.455,10.356,34.095
1746585236.37,0.013,0.090,0.113,-0.653,3.099,0.241,18.927,13.425,34.703
1746585236.39,-0.034,0.108,0.132,-0.763,3.629,-0.015,18.229,17.069,35.065
1746585236.41,-0.218,0.258,0.299,-0.906,4.932,0.106,17.292,21.970,35.400
1746585236.43,-0.298,0.173,-0.211,1.359,-2.387,1.452,18.220,22.091,36.025
1746585236.45,-0.118,0.415,0.707,-1.444,-0.708,1.475,18.902,19.640,37.665
1746585236.47,-0.274,0.372,0.555,-3.444,-0.821,1.537,16.850,17.941,40.279
1746585236.49,-0.097,0.360,0.817,-5.309,0.017,2.179,12.533,16.596,44.028
1746585236.51,-0.287,0.631,0.285,-4.209,0.271,1.001,7.669,16.243,47.499
1746585236.53,-0.427,0.557,-0.081,-2.854,0.726,0.732,4.112,16.484,49.457
1746585236.55,-0.202,0.554,0.111,-2.901,1.374,0.888,1.412,17.597,51.232
1746585236.57,-0.010,0.589,0.570,-4.309,2.031,0.803,-2.158,19.533,53.494
1746585236.59,-0.117,0.638,0.546,-5.279,2.875,0.279,-7.125,22.595,56.091
1746585236.61,-0.363,0.504,0.071,-5.167,2.396,-0.340,-12.662,26.121,58.582
1746585236.63,-0.356,0.444,-0.306,-4.277,1.766,-0.719,-17.779,29.027,60.620
1746585236.65,0.030,0.523,-0.414,-3.785,1.897,-0.561,-22.024,31.635,62.309
1746585236.67,0.465,0.539,-0.188,-4.422,2.611,-0.379,-26.215,35.117,64.645
1746585236.69,0.628,0.470,-0.366,-4.232,3.674,-0.312,-30.443,40.249,67.807
1746585236.71,0.496,0.251,-0.675,-3.521,3.780,-0.382,-33.931,46.381,71.047
1746585236.73,0.471,0.137,-0.729,-2.840,3.583,-0.305,-36.613,52.286,74.076
1746585236.75,0.656,0.143,-0.628,-2.467,4.073,-0.016,-38.464,58.434,77.034
1746585236.77,0.829,0.200,-0.443,-2.620,4.732,0.327,-39.662,65.605,80.385
1746585236.79,0.770,0.056,-0.467,-2.434,4.684,0.571,-40.190,73.541,84.248
1746585236.81,0.355,-0.189,-0.696,-1.544,4.097,0.474,-40.084,80.567,87.365
1746585236.83,0.008,-0.319,-0.706,-0.901,3.560,-0.158,-40.048,86.123,89.275
1746585236.85,0.150,-0.370,-0.507,-0.922,2.857,-0.475,-40.504,90.623,90.725
1746585236.87,0.544,-0.301,-0.356,-0.742,1.998,-0.057,-40.806,94.249,91.983
1746585236.89,0.756,-0.341,-0.263,-1.020,1.059,0.565,-40.415,96.787,93.317
1746585236.91,0.597,-0.463,-0.309,-0.920,0.528,0.751,-39.468,98.540,94.818
1746585236.93,0.264,-0.566,-0.498,-0.579,0.096,0.513,-38.596,99.475,95.877
1746585236.95,0.036,-0.508,-0.540,0.338,-0.023,0.242,-38.149,99.646,96.221
1746585236.97,-0.059,-0.363,-0.659,1.065,-0.121,0.038,-38.128,98.850,95.216
1746585236.99,-0.089,-0.060,-0.586,1.622,-0.136,-0.059,-38.475,97.319,93.371
1746585237.01,0.144,-0.278,-0.340,1.253,-0.499,0.091,-38.621,95.655,91.288
1746585237.03,0.043,-0.260,-0.254,0.724,-1.066,0.149,-38.559,93.919,89.832
1746585237.05,-0.048,-0.112,-0.132,0.455,-1.429,0.104,-38.424,91.905,88.997
1746585237.07,0.024,0.053,0.192,0.231,-1.034,-0.244,-38.498,90.153,88.487
1746585237.09,0.079,0.102,0.363,0.033,-1.135,-0.371,-38.862,88.904,88.245
1746585237.11,-0.098,-0.045,0.362,-0.540,-2.347,-0.497,-39.356,87.156,88.644
1746585237.13,-0.392,-0.040,0.199,-0.030,-2.785,-0.613,-40.032,84.487,89.071
1746585237.15,-0.359,0.186,0.113,-0.039,-3.731,-0.432,-40.624,80.702,88.950
1746585237.17,-0.151,0.331,0.288,-0.213,-3.857,-0.617,-41.217,76.245,89.025
1746585237.19,-0.100,0.310,0.092,0.032,-1.544,-0.967,-42.096,72.921,88.854
1746585237.21,-0.237,0.230,-0.200,-0.103,-0.744,-1.223,-43.317,71.312,88.297
1746585237.23,-0.354,0.049,0.188,-0.597,-0.917,-1.148,-44.655,70.596,88.253
1746585237.25,-0.279,0.177,0.192,-1.058,-0.464,-1.309,-46.288,70.148,88.882
1746585237.27,0.035,0.360,0.182,-0.868,0.218,-1.413,-48.152,70.646,89.670
1746585237.29,0.245,0.277,0.044,-0.554,0.257,-1.374,-49.898,71.189,90.045
1746585237.31,0.234,-0.092,-0.015,-0.404,1.566,-1.189,-51.488,72.310,90.140
1746585237.33,0.159,-0.187,-0.014,-0.235,1.961,-0.920,-52.719,74.421,90.106
1746585237.35,0.065,-0.123,0.017,-0.483,1.756,-0.886,-53.793,76.689,90.289
1746585237.37,-0.022,-0.159,0.075,-1.007,1.388,-1.252,-55.103,79.335,91.260
1746585237.39,0.026,-0.156,-0.034,-1.737,0.766,-1.713,-57.040,82.433,93.514
1746585237.41,0.112,-0.123,-0.182,-2.658,0.513,-1.808,-59.297,86.797,97.867
1746585237.43,0.135,-0.194,-0.063,-3.226,1.018,-1.823,-61.362,93.734,104.914
1746585237.45,0.089,-0.280,0.023,-1.498,-0.351,-1.807,-63.099,100.061,111.314
1746585237.47,0.041,-0.317,-0.044,-0.932,-1.518,-1.808,-64.853,101.990,114.937
1746585237.49,-0.033,-0.273,0.140,-1.428,-1.309,-2.083,-66.707,104.317,119.272
1746585237.51,-0.063,-0.207,0.098,-1.943,-1.446,-2.510,-68.644,109.161,126.146
1746585237.53,-0.077,-0.172,0.050,-2.341,-2.093,-2.673,-70.505,116.418,136.062
1746585237.55,-0.118,-0.331,0.110,-2.134,-2.424,-1.512,-71.384,124.260,147.075
1746585237.57,0.057,0.345,0.146,-1.715,-2.536,0.772,-70.508,127.330,153.341
1746585237.59,0.219,1.219,0.239,-1.668,-1.437,2.070,-67.736,125.874,154.412
1746585237.61,-0.165,1.679,-0.077,-0.517,-0.152,-0.059,-66.000,126.006,155.291
1746585237.63,-0.300,0.249,-0.388,0.050,-0.623,-0.994,-66.510,127.005,156.769
1746585237.65,-0.043,-0.197,-0.130,0.143,-1.059,-0.554,-67.328,127.072,157.994
1746585237.67,0.008,-0.223,0.079,0.033,-0.574,-0.140,-67.701,126.331,158.232
1746585237.69,0.086,-0.105,0.092,-0.374,-0.367,-0.107,-67.667,126.448,158.888
1746585237.71,0.102,0.033,-0.037,-0.255,-0.391,-0.205,-67.568,127.023,159.976
1746585237.73,0.035,0.048,-0.055,-0.024,-0.152,-0.302,-67.711,127.419,160.772
1746585237.75,-0.038,0.003,-0.008,0.055,0.066,-0.326,-68.021,127.879,161.303
1746585237.77,-0.018,-0.078,-0.014,0.039,0.219,-0.319,-68.336,128.459,161.742
1746585237.79,0.012,0.047,-0.026,0.153,0.467,-0.532,-68.765,129.442,162.406
1746585237.81,0.069,0.018,-0.019,0.461,0.845,-0.507,-69.468,130.544,162.792
1746585237.83,0.007,-0.009,-0.015,0.626,1.236,-0.214,-70.220,131.153,162.152
1746585237.85,-0.041,0.014,-0.061,0.270,1.252,0.022,-70.669,131.635,161.131
1746585237.87,0.063,0.049,-0.042,0.484,1.201,-0.203,-70.951,132.367,160.396
1746585237.89,0.185,0.164,-0.040,0.753,0.908,-1.265,-72.006,133.535,160.326
1746585237.91,0.282,0.215,-0.092,0.867,0.448,-2.319,-74.184,137.172,163.306
1746585237.93,0.157,0.169,-0.167,0.702,0.075,-2.380,-76.613,143.208,169.294
