Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
1746585765.29,-0.013,0.026,0.008,0.291,0.398,0.301,13.136,-1.006,18.476
1746585765.31,-0.075,0.037,0.117,0.211,0.199,0.271,13.423,-0.737,18.815
1746585765.33,-0.062,-0.000,0.112,0.079,0.038,0.243,13.587,-0.681,19.122
1746585765.35,-0.038,0.018,0.032,0.103,-0.345,0.128,13.648,-0.867,19.352
1746585765.37,-0.020,0.024,0.005,0.325,-0.830,0.036,13.909,-1.575,19.437
1746585765.39,0.024,0.150,0.085,0.132,-0.752,-0.032,14.229,-2.609,19.451
1746585765.41,-0.095,0.017,0.046,-0.037,-0.573,-0.078,14.238,-3.254,19.360
1746585765.43,0.013,0.024,0.104,-0.161,0.056,-0.019,14.160,-3.599,19.277
1746585765.45,-0.188,0.017,0.077,-0.438,0.513,0.001,13.798,-3.132,19.240
1746585765.47,-0.043,0.083,-0.045,-0.322,0.719,-0.009,13.324,-2.492,19.217
1746585765.49,-0.117,0.023,0.083,-0.007,1.103,0.047,13.145,-1.359,19.220
1746585765.51,-0.081,-0.064,0.140,0.104,0.946,0.215,13.220,-0.251,19.391
1746585765.53,-0.055,0.007,0.149,-0.028,0.860,0.279,13.291,0.689,19.680
1746585765.55,-0.045,0.037,0.159,-0.370,1.412,0.459,13.087,1.829,20.097
1746585765.57,-0.071,0.064,0.177,-0.697,2.197,0.727,12.489,3.738,20.838
1746585765.59,-0.093,0.060,0.036,-0.563,1.994,0.892,11.802,6.033,21.867
1746585765.61,-0.086,0.038,-0.107,-0.363,1.411,0.948,11.451,7.681,22.998
1746585765.63,-0.106,0.085,0.147,-1.241,2.823,0.922,10.822,9.599,24.214
1746585765.65,-0.050,0.242,0.612,-3.960,7.726,0.237,8.181,15.245,25.545
1746585765.67,-0.558,0.355,-0.199,-0.616,-1.709,0.434,5.685,18.233,26.534
1746585765.69,0.220,-0.113,0.395,-1.058,-0.534,0.818,4.990,17.092,27.447
1746585765.71,-0.247,0.311,0.126,-1.420,-0.727,1.222,4.096,16.041,28.881
1746585765.73,0.049,0.314,0.503,-2.492,-0.288,1.924,2.501,15.303,31.227
1746585765.75,-0.090,0.410,0.735,-3.989,0.079,1.750,-0.608,15.147,34.386
1746585765.77,-0.410,0.484,0.078,-3.141,0.869,1.009,-4.254,15.751,36.975
1746585765.79,-0.101,0.405,0.077,-2.849,1.673,1.026,-7.089,17.485,38.986
1746585765.81,-0.099,0.445,0.346,-3.344,1.564,1.052,-10.040,19.733,41.279
1746585765.83,-0.257,0.456,0.319,-3.628,1.119,0.814,-13.420,21.800,43.793
1746585765.85,-0.427,0.340,0.053,-3.281,0.475,0.276,-16.845,23.289,46.023
1746585765.87,-0.360,0.397,-0.077,-2.964,0.617,-0.412,-20.117,24.243,47.397
1746585765.89,0.023,0.396,-0.056,-3.135,1.451,-0.658,-23.537,25.748,48.335
1746585765.91,0.339,0.406,-0.181,-2.997,2.279,-0.444,-27.013,28.426,49.474
1746585765.93,0.198,0.296,-0.287,-2.735,2.355,-0.628,-30.005,31.694,50.806
1746585765.95,-0.001,0.102,-0.333,-2.574,1.256,-0.965,-33.086,34.560,51.917
1746585765.97,0.053,0.182,-0.396,-2.375,1.371,-1.447,-36.254,36.260,52.455
1746585765.99,0.635,0.263,-0.469,-2.318,1.971,-1.020,-39.247,38.500,53.005
1746585766.01,0.964,0.152,-0.522,-2.262,2.829,-0.214,-41.713,42.256,54.560
1746585766.03,0.679,0.020,-0.571,-1.892,3.169,0.102,-43.412,47.254,56.794
1746585766.05,0.419,-0.096,-0.507,-1.682,2.809,0.192,-44.596,52.322,59.107
1746585766.07,0.425,-0.175,-0.470,-1.464,2.272,0.335,-45.390,56.858,61.418
1746585766.09,0.439,-0.158,-0.387,-1.536,1.787,0.558,-45.860,60.870,63.817
1746585766.11,0.538,-0.214,-0.388,-1.525,1.697,0.999,-45.874,64.885,66.705
1746585766.13,0.393,-0.281,-0.341,-1.529,1.678,1.158,-45.382,68.935,69.620
1746585766.15,0.210,-0.386,-0.417,-1.222,1.423,1.146,-44.670,72.719,72.430
1746585766.17,-0.167,-0.465,-0.766,0.012,1.636,0.537,-43.896,75.369,73.799
1746585766.19,-0.280,-0.431,-0.529,0.062,2.007,0.054,-43.614,77.298,73.632
1746585766.21,0.118,-0.250,-0.216,-0.079,2.432,0.093,-43.611,79.919,73.737
1746585766.23,0.182,-0.091,-0.257,0.172,1.559,0.492,-43.270,82.098,73.662
1746585766.25,0.070,-0.229,-0.324,0.411,0.902,0.717,-42.494,83.249,73.336
1746585766.27,-0.098,-0.296,-0.325,0.458,0.594,0.541,-41.697,83.701,72.757
1746585766.29,-0.114,-0.257,-0.172,0.358,0.326,0.325,-41.165,83.901,72.214
1746585766.31,-0.129,-0.206,-0.145,0.346,-0.118,0.124,-40.858,83.691,71.700
1746585766.33,-0.154,-0.114,0.073,0.000,-0.510,-0.159,-40.855,83.140,71.438
1746585766.35,-0.130,-0.086,0.062,-0.032,-0.912,-0.516,-41.240,82.332,71.416
1746585766.37,-0.167,0.008,0.094,-0.207,-1.196,-0.796,-42.012,81.139,71.426
1746585766.39,-0.034,0.070,0.031,-0.154,-1.353,-0.728,-42.938,79.744,71.536
